id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8680,1,〇,今野 翔太,SG/SF,20:45,4,2,8,25.0%,0,2,0.0%,0,0,-,2,0,2,0,0,1,0,3,0,1,0,1
8684,2,-,橋本 尚明,SG,07:58,0,0,1,0.0%,0,0,-,0,0,-,1,0,1,1,2,0,0,0,1,0,0,-1
8682,8,-,久保田 遼,PF,04:29,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0,0,0
8681,11,-,綿貫 瞬,PG,16:27,0,0,5,0.0%,0,2,0.0%,0,0,-,1,2,3,1,1,0,0,0,0,0,0,-2
8701,14,-,橋本 拓哉,SG,22:43,7,3,5,60.0%,1,1,100.0%,0,0,-,0,2,2,1,0,0,0,1,2,3,0,8
8688,15,-,根来 新之助,SF/PF,22:27,8,3,5,60.0%,2,3,66.7%,0,0,-,4,1,5,3,3,1,0,0,4,0,0,12
8689,17,〇,木下 博之,PG,23:33,7,2,7,28.6%,1,5,20.0%,2,2,100.0%,0,1,1,4,0,1,2,0,1,1,0,10
8683,18,〇,相馬 卓弥,SG,28:34,12,4,13,30.8%,2,7,28.6%,2,2,100.0%,2,4,6,3,1,0,0,1,0,3,0,11
8690,20,-,合田 怜,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9061,23,-,劉 瑾,C,10:02,0,0,1,0.0%,0,0,-,0,0,-,1,1,2,2,2,0,0,0,1,0,0,1
9062,32,〇,エグゼビア・ギブソン,C,09:30,0,0,4,0.0%,0,0,-,0,2,0.0%,1,0,1,1,0,1,0,3,5,3,0,-3
9063,55,〇,ジョシュ・ハレルソン,PF/C,33:32,19,7,19,36.8%,5,12,41.7%,0,0,-,3,12,15,0,2,0,1,1,2,1,0,21
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,4,8,0,2,0,0,0,0,0,0,6
,,,合計,,200:00,57,21,68,30.9%,11,32,34.4%,4,6,66.7%,19,27,46,16,13,4,3,9,18,12,0,64
