id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8563,1,-,大石 慎之介,SG,15:18,5,2,5,40.0%,1,2,50.0%,0,0,-,1,0,1,0,0,0,0,0,0,0,0,3
9354,2,〇,ロバート・ドジャー,PF,34:00,18,9,11,81.8%,0,1,0.0%,0,0,-,2,5,7,1,4,2,0,0,3,1,3,22
8564,3,-,大口 真洋,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9355,5,〇,オルー・アシャオル,PF,23:18,7,2,7,28.6%,0,0,-,3,4,75.0%,1,4,5,2,0,2,0,2,1,6,1,10
8565,8,-,太田 敦也,C,27:18,7,3,4,75.0%,0,0,-,1,1,100.0%,1,1,2,1,1,0,1,0,2,3,0,9
8566,9,-,川満 寿史,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8567,11,-,岡田 慎吾,SG,17:37,4,2,7,28.6%,0,1,0.0%,0,0,-,0,2,2,0,2,0,0,0,3,1,0,-1
8568,15,〇,鈴木 達也,PG,28:42,8,3,3,100.0%,2,2,100.0%,0,0,-,0,2,2,7,2,0,0,0,1,1,0,15
8569,45,〇,鹿野 洵生,SF,22:34,0,0,9,0.0%,0,6,0.0%,0,0,-,0,0,0,1,1,1,0,3,0,0,0,-8
8570,47,-,並里 祐,PG,05:24,2,1,3,33.3%,0,2,0.0%,0,0,-,0,0,0,2,0,0,1,0,1,1,0,3
8571,73,〇,田渡 修人,SG,25:49,11,4,8,50.0%,3,5,60.0%,0,0,-,0,2,2,3,1,1,0,0,2,0,0,12
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,4,6,0,1,0,0,0,0,0,0,5
,,,合計,,200:00,62,26,57,45.6%,6,19,31.6%,4,5,80.0%,7,20,27,17,12,6,2,5,13,13,4,70
