id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8712,0,〇,細谷 将司,PG,18:14,7,3,5,60.0%,1,3,33.3%,0,0,-,0,0,0,4,0,0,0,0,1,1,0,9
8721,1,〇,川村 卓也,SG,25:54,12,5,14,35.7%,2,5,40.0%,0,1,0.0%,0,0,0,2,3,1,0,0,1,3,0,2
8719,2,〇,高島 一貴,SG,09:07,2,1,3,33.3%,0,0,-,0,0,-,1,0,1,0,1,0,0,0,0,0,0,0
8455,3,-,蒲谷 正之,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9398,4,〇,ジェフリー・パーマー,SF/PF,40:00,17,6,21,28.6%,1,5,20.0%,4,6,66.7%,3,4,7,0,4,1,2,0,2,4,0,6
8713,5,-,湊谷 安玲久司朱,SG,22:59,9,3,8,37.5%,3,4,75.0%,0,0,-,2,2,4,1,2,1,0,0,5,1,0,8
8710,7,-,堀川 竜一,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9400,10,〇,ファイ パプ月瑠,PF/C,40:00,10,2,4,50.0%,0,0,-,6,10,60.0%,5,12,17,1,0,3,0,0,4,8,0,25
8454,13,-,山田 謙治,PG,21:56,3,1,6,16.7%,1,5,20.0%,0,0,-,0,1,1,2,0,1,1,0,3,1,0,3
10844,21,-,満田 丈太郎,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8720,25,-,竹田 謙,SG,21:50,8,3,7,42.9%,2,2,100.0%,0,0,-,1,2,3,2,0,0,0,1,3,0,0,9
8711,33,-,喜久山 貴一,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,5,1,6,0,1,0,0,0,0,0,0,5
,,,合計,,200:00,68,24,68,35.3%,10,24,41.7%,10,17,58.8%,17,22,39,12,11,7,3,1,19,18,0,67
