id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8456,1,-,小島 元基,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8727,2,〇,川嶋 勇人,PG,22:12,8,4,10,40.0%,0,2,0.0%,0,1,0.0%,1,2,3,4,1,1,1,1,3,2,0,9
9360,5,〇,マーカス・ダブ,PF,28:33,14,6,12,50.0%,0,0,-,2,4,50.0%,4,7,11,3,3,3,1,1,3,4,0,21
8457,8,-,村上 直,PG,18:55,4,1,3,33.3%,0,1,0.0%,2,2,100.0%,1,1,2,3,1,0,0,0,2,2,0,6
8729,12,〇,岡田 優介,SG,32:50,8,3,9,33.3%,2,6,33.3%,0,0,-,0,0,0,0,0,0,0,0,2,1,0,2
8458,15,-,佐藤 託矢,PF,15:26,6,3,5,60.0%,0,1,0.0%,0,0,-,0,0,0,1,1,0,0,0,1,1,0,4
8728,17,-,日下 光,PG/SG,04:52,3,1,1,100.0%,1,1,100.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,3
9385,22,〇,モー・チャーロ,SF,17:14,4,2,8,25.0%,0,2,0.0%,0,0,-,3,2,5,0,2,2,0,0,0,1,1,3
8459,33,〇,内海 慎吾,SG,24:08,4,2,7,28.6%,0,2,0.0%,0,0,-,0,0,0,0,0,3,0,0,4,0,0,2
8460,34,-,籔内 幸樹,PG/SG,20:26,5,2,4,50.0%,1,1,100.0%,0,0,-,2,0,2,0,1,1,0,1,2,2,0,5
8762,42,-,ケビン・コッツァー,PF,15:24,22,9,13,69.2%,0,1,0.0%,4,7,57.1%,1,2,3,1,3,0,0,0,1,5,0,16
10262,45,-,頓宮 裕人,PF/C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,0,0,0,0,0,0,0,3
,,,合計,,200:00,78,33,72,45.8%,4,17,23.5%,8,14,57.1%,13,16,29,12,12,10,2,3,18,18,1,74
