id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8482,0,-,藤井 祐眞,PG,11:58,0,0,3,0.0%,0,3,0.0%,0,0,-,0,2,2,3,0,0,1,0,1,0,0,3
8484,7,〇,篠山 竜青,PG,28:29,18,6,11,54.5%,2,4,50.0%,4,6,66.7%,1,5,6,4,2,0,0,1,3,4,0,19
8485,9,-,栗原 貴宏,SF,20:13,15,5,8,62.5%,5,7,71.4%,0,0,-,0,1,1,0,0,0,0,0,2,0,0,13
8486,11,-,野本 建吾,SF/PF,04:06,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9334,12,〇,ライアン・スパングラー,PF,26:32,9,4,8,50.0%,0,1,0.0%,1,1,100.0%,3,8,11,1,3,2,0,0,2,5,1,16
8487,14,〇,辻 直人,SG,31:16,9,2,7,28.6%,0,5,0.0%,5,5,100.0%,0,0,0,7,2,2,0,0,1,7,0,11
8488,15,-,谷口 光貴,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8489,18,-,鎌田 裕也,PF/C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8490,22,〇,ニック・ファジーカス,C,33:24,27,11,16,68.8%,1,1,100.0%,4,5,80.0%,2,7,9,2,3,6,0,0,3,2,0,35
8491,25,-,ジュフ 磨々道,PF,05:37,2,1,3,33.3%,0,0,-,0,0,-,1,1,2,0,2,0,0,0,2,0,0,0
8492,33,〇,長谷川 技,SG/SF,24:02,6,2,7,28.6%,2,6,33.3%,0,0,-,0,4,4,2,1,0,0,0,1,0,0,6
8493,43,-,永吉 佑也,PF/C,14:23,2,1,1,100.0%,0,0,-,0,0,-,0,1,1,1,1,0,0,0,1,0,0,3
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,0,0,0,0,0,0,2
,,,合計,,200:00,88,32,64,50.0%,10,27,37.0%,14,17,82.4%,8,30,38,20,14,10,1,1,16,18,1,108
