id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8578,1,-,阿部 友和,PG,18:02,6,2,3,66.7%,2,2,100.0%,0,0,-,0,1,1,4,3,1,0,0,5,4,0,8
9055,2,〇,富樫 勇樹,PG,23:49,16,6,13,46.2%,4,7,57.1%,0,0,-,3,1,4,3,4,0,0,1,1,2,0,12
8579,3,〇,マイケル・パーカー,PF,36:20,19,9,12,75.0%,1,3,33.3%,0,0,-,3,5,8,1,0,1,0,0,3,1,0,26
8580,11,-,西村 文男,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9056,16,〇,ヒルトン・アームストロング,C,35:53,8,4,9,44.4%,0,0,-,0,0,-,1,11,12,6,0,2,1,1,4,2,1,24
8581,22,-,上江田 勇樹,SG/SF,01:34,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-1
8582,25,-,荒尾 岳,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8583,27,〇,石井 講祐,SG,18:25,0,0,4,0.0%,0,3,0.0%,0,0,-,0,1,1,0,0,0,0,1,1,1,0,-3
8584,31,-,原 修太,SG/SF,20:42,9,4,10,40.0%,1,4,25.0%,0,0,-,1,2,3,2,1,1,0,0,3,3,0,8
9057,33,-,タイラー・ストーン,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8585,34,〇,小野 龍猛,SF/PF,37:28,16,6,20,30.0%,4,10,40.0%,0,0,-,1,2,3,2,3,0,1,3,1,3,0,5
8586,44,-,伊藤 俊亮,C,07:47,0,0,1,0.0%,0,0,-,0,0,-,1,0,1,0,0,0,0,0,2,1,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,3,4,0,2,0,0,0,1,0,0,2
,,,合計,,200:00,74,31,72,43.1%,12,29,41.4%,0,0,-,11,26,37,18,14,5,2,6,21,17,1,81
