id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8650,0,〇,田臥 勇太,PG,20:16,5,2,7,28.6%,0,1,0.0%,1,2,50.0%,0,0,0,5,0,2,0,1,1,3,0,6
8495,3,-,前村 雄大,PG/SG,00:05,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8835,4,-,ジェフ・ギブス,PF/C,25:37,7,3,3,100.0%,0,0,-,1,3,33.3%,2,3,5,0,4,0,1,0,2,2,0,7
8497,9,〇,遠藤 祐亮,PG/SG,24:52,14,6,10,60.0%,2,3,66.7%,0,0,-,0,0,0,0,1,0,0,0,4,0,0,9
8726,10,〇,竹内 公輔,PF/C,21:54,4,2,4,50.0%,0,1,0.0%,0,0,-,0,3,3,0,0,0,1,0,1,0,0,6
8494,11,-,須田 侑太郎,SG/SF,08:46,2,0,2,0.0%,0,1,0.0%,2,2,100.0%,0,0,0,0,2,2,0,0,1,2,0,0
8499,13,-,渡邉 裕規,PG/SG,26:16,18,6,13,46.2%,4,8,50.0%,2,2,100.0%,0,1,1,4,0,2,0,0,1,2,0,18
8496,21,-,橋本 晃佑,PF/C,00:05,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8834,24,-,トミー・ブレントン,SF/PF,01:48,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8500,25,〇,古川 孝敏,SG/SF,26:48,7,1,11,9.1%,1,5,20.0%,4,4,100.0%,1,1,2,0,0,2,0,0,1,2,0,1
8498,27,-,熊谷 尚也,SF/PF,11:03,5,2,3,66.7%,1,1,100.0%,0,0,-,0,1,1,0,0,0,0,0,1,0,0,5
8649,32,〇,ライアン・ロシター,PF/C,32:30,6,2,10,20.0%,1,2,50.0%,1,4,25.0%,7,11,18,8,3,1,0,0,4,5,0,19
