id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8456,1,-,小島 元基,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8727,2,〇,川嶋 勇人,PG,29:55,19,7,14,50.0%,3,4,75.0%,2,2,100.0%,1,3,4,3,0,3,0,0,2,1,0,22
9360,5,〇,マーカス・ダブ,PF,19:50,8,3,7,42.9%,0,0,-,2,2,100.0%,1,2,3,1,1,3,0,0,3,3,1,10
8457,8,-,村上 直,PG,19:56,10,3,9,33.3%,2,5,40.0%,2,2,100.0%,0,0,0,4,2,3,0,0,1,1,0,9
8729,12,〇,岡田 優介,SG,28:06,12,4,6,66.7%,2,3,66.7%,2,2,100.0%,1,1,2,4,0,0,0,0,2,1,0,16
8458,15,-,佐藤 託矢,PF,16:49,12,4,8,50.0%,0,0,-,4,4,100.0%,0,1,1,0,0,1,0,1,4,3,0,10
8728,17,-,日下 光,PG/SG,01:45,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9359,24,-,ローレンス・ヒル,PF,14:55,4,2,7,28.6%,0,3,0.0%,0,0,-,2,3,5,0,3,0,0,0,3,2,1,1
8459,33,〇,内海 慎吾,SG,22:50,3,1,7,14.3%,1,5,20.0%,0,0,-,0,0,0,1,0,1,0,0,0,1,0,-1
8460,34,-,籔内 幸樹,PG/SG,20:39,2,0,4,0.0%,0,0,-,2,2,100.0%,0,2,2,0,0,0,0,0,2,1,0,0
8762,42,〇,ケビン・コッツァー,PF,24:32,15,7,9,77.8%,0,0,-,1,1,100.0%,4,9,13,5,1,0,0,0,1,4,0,30
10262,45,-,頓宮 裕人,PF/C,00:43,0,0,2,0.0%,0,0,-,0,0,-,1,0,1,0,0,0,0,0,1,0,0,-1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,1,3,0,0,0,0,0,0,0,0,3
,,,合計,,200:00,85,31,73,42.5%,8,20,40.0%,15,15,100.0%,12,22,34,18,7,11,0,1,19,17,2,99
