id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8456,1,-,小島 元基,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8727,2,〇,川嶋 勇人,PG,23:43,4,2,8,25.0%,0,1,0.0%,0,0,-,0,2,2,5,1,2,0,0,1,3,0,6
9360,5,〇,マーカス・ダブ,PF,25:14,18,8,13,61.5%,0,0,-,2,3,66.7%,3,4,7,2,3,5,0,0,2,2,0,23
8457,8,〇,村上 直,PG,32:33,9,4,9,44.4%,1,2,50.0%,0,0,-,0,1,1,5,1,5,0,1,2,2,0,14
8729,12,〇,岡田 優介,SG,28:49,16,4,9,44.4%,4,5,80.0%,4,4,100.0%,0,0,0,1,2,0,0,0,4,4,0,10
8458,15,-,佐藤 託矢,PF,11:13,2,1,5,20.0%,0,1,0.0%,0,0,-,0,1,1,0,0,0,0,0,3,0,0,-1
8728,17,-,日下 光,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9359,24,-,ローレンス・ヒル,PF,20:00,9,4,10,40.0%,1,4,25.0%,0,0,-,1,7,8,4,2,1,1,0,1,2,0,15
8459,33,〇,内海 慎吾,SG,27:10,12,4,8,50.0%,4,7,57.1%,0,0,-,0,1,1,1,1,1,0,0,3,1,0,10
8460,34,-,籔内 幸樹,PG/SG,16:32,2,1,3,33.3%,0,1,0.0%,0,0,-,0,1,1,1,1,0,0,0,3,1,0,1
8762,42,-,ケビン・コッツァー,PF,14:46,15,7,9,77.8%,0,0,-,1,1,100.0%,2,3,5,1,0,0,1,0,2,1,0,20
10262,45,-,頓宮 裕人,PF/C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
