id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9027,1,-,セオン・エディ,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9028,2,〇,ディアンテ・ギャレット,SG,23:37,8,3,12,25.0%,0,2,0.0%,2,2,100.0%,2,3,5,5,4,0,0,1,1,3,0,5
9029,7,〇,正中 岳城,PG,24:58,8,3,6,50.0%,2,5,40.0%,0,0,-,1,1,2,1,0,1,0,0,3,0,0,9
9030,8,-,二ノ宮 康平,PG,00:04,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9031,10,-,ザック・バランスキー,SF/PF,18:24,7,3,7,42.9%,1,4,25.0%,0,1,0.0%,1,0,1,1,0,0,0,0,3,2,0,4
9033,15,〇,竹内 譲次,PF,25:13,10,3,7,42.9%,0,3,0.0%,4,6,66.7%,5,5,10,0,3,1,0,0,4,7,0,12
9034,16,-,松井 啓十郎,SG,24:29,8,2,2,100.0%,2,2,100.0%,2,2,100.0%,0,2,2,0,2,0,0,0,0,1,0,8
9036,22,-,田村 大輔,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10886,23,〇,ジェフ・エアーズ,PF,22:22,7,3,5,60.0%,1,1,100.0%,0,0,-,1,5,6,0,2,2,0,0,2,1,0,11
9037,24,〇,田中 大貴,SG,30:29,16,4,14,28.6%,3,9,33.3%,5,5,100.0%,1,1,2,2,1,0,0,1,1,3,0,9
9039,35,-,伊藤 大司,PG,16:23,0,0,3,0.0%,0,2,0.0%,0,0,-,0,1,1,1,1,0,0,0,2,0,0,-2
10887,44,-,トレント・プレイステッド,C,14:01,2,1,4,25.0%,0,0,-,0,0,-,2,3,5,1,0,0,1,0,1,1,0,6
