id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8477,4,〇,志村 雄彦,PG,24:25,0,0,2,0.0%,0,0,-,0,0,-,0,1,1,3,0,0,0,0,2,2,0,2
8478,5,-,柳川 龍之介,SF,15:13,5,2,4,50.0%,1,3,33.3%,0,2,0.0%,0,1,1,2,3,0,0,0,0,2,0,1
8479,6,〇,菊池 真人,PF,24:35,2,1,5,20.0%,0,1,0.0%,0,0,-,3,3,6,1,3,1,0,0,2,1,0,3
8724,9,〇,熊谷 宜之,SF,30:04,3,1,6,16.7%,1,4,25.0%,0,0,-,0,2,2,1,0,0,0,0,1,2,0,1
8480,14,-,佐藤 文哉,SG,12:02,0,0,2,0.0%,0,1,0.0%,0,0,-,0,1,1,0,0,1,0,0,0,0,0,0
9369,15,〇,チリジ・ネパウエ,C,29:05,12,6,12,50.0%,0,0,-,0,0,-,2,4,6,0,2,1,1,1,4,2,0,12
10898,21,-,谷里 京哉,SF,01:37,0,0,2,0.0%,0,2,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-2
8725,33,-,楯 昌宗,PG,07:33,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,1,0,0,0,4,0,0,-2
9494,41,-,ウェンデル・ホワイト,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10875,44,-,グレッグ・マンガーノ,PF,27:28,18,8,14,57.1%,1,2,50.0%,1,2,50.0%,3,9,12,0,3,1,1,0,3,2,0,22
8481,91,〇,片岡 大晴,SG,27:58,9,4,10,40.0%,1,2,50.0%,0,0,-,1,0,1,4,4,0,1,0,1,2,0,5
