id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8467,3,〇,安藤 誓哉,PG,31:59,16,7,12,58.3%,2,3,66.7%,0,0,-,2,0,2,2,0,2,0,0,1,3,0,17
8468,5,〇,田口 成浩,SG,30:04,11,4,7,57.1%,1,4,25.0%,2,2,100.0%,0,2,2,4,0,0,0,0,3,1,0,14
8469,11,〇,菅澤 紀行,SF/PF,32:02,6,2,5,40.0%,2,5,40.0%,0,0,-,0,2,2,2,0,1,0,0,2,0,0,8
9058,13,〇,スコット・モリソン,C,20:44,10,5,5,100.0%,0,0,-,0,0,-,1,5,6,0,0,0,0,0,2,2,3,16
8735,16,-,高橋 憲一,SG,10:13,6,2,2,100.0%,2,2,100.0%,0,0,-,0,0,0,1,1,0,0,0,1,0,0,6
10848,17,-,中山 拓哉,PG/SG,12:13,0,0,1,0.0%,0,1,0.0%,0,0,-,0,3,3,2,0,2,0,0,2,1,0,6
9060,18,-,藤江 建典,SF,03:29,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0,0,0
10897,22,-,レオ・ライオンズ,SF/PF,22:59,14,5,9,55.6%,1,2,50.0%,3,3,100.0%,0,3,3,3,1,0,0,0,5,4,1,15
10878,24,-,保岡 龍斗,SG/SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10823,30,-,イバン・ラベネル,PF/C,16:17,8,4,11,36.4%,0,2,0.0%,0,0,-,2,3,5,1,3,0,0,2,3,1,3,4
8470,55,〇,谷口 大智,PF/C,20:00,9,3,6,50.0%,3,4,75.0%,0,0,-,0,2,2,2,4,0,1,0,3,1,0,7
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,6,6,0,0,0,0,0,0,0,0,6
,,,合計,,200:00,80,32,58,55.2%,11,23,47.8%,5,5,100.0%,5,26,31,17,9,5,1,2,24,13,7,99
