id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9498,0,〇,アジーズ・エンダイ,C,15:12,5,2,3,66.7%,0,0,-,1,6,16.7%,1,4,5,1,0,0,2,0,3,4,1,7
8534,2,〇,朝山 正悟,SG/SF,23:50,6,2,5,40.0%,2,5,40.0%,0,0,-,0,0,0,2,2,0,0,0,2,0,0,3
8768,5,〇,山田 大治,PF/C,12:37,5,2,3,66.7%,0,0,-,1,1,100.0%,0,4,4,2,1,0,0,0,0,2,0,9
8531,7,-,坂田 央,SF,25:50,9,4,11,36.4%,0,2,0.0%,1,2,50.0%,1,2,3,1,2,0,0,1,3,3,0,3
8533,8,-,岡崎 修司,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8532,11,-,北川 弘,PG,30:09,14,5,10,50.0%,2,5,40.0%,2,2,100.0%,0,2,2,3,2,1,0,1,3,2,0,13
9088,12,-,ダニエル・ディロン,PG/SG,24:38,18,5,9,55.6%,0,1,0.0%,8,12,66.7%,3,3,6,4,3,1,0,1,2,10,1,18
8529,18,〇,鵤 誠司,PG,20:22,6,3,6,50.0%,0,0,-,0,0,-,1,4,5,1,0,1,0,0,0,0,0,10
9089,21,-,コナー・ ラマート,SF/PF,20:10,6,2,4,50.0%,0,1,0.0%,2,2,100.0%,0,7,7,1,0,0,1,0,3,2,0,13
8528,24,〇,田中 成也,SG,21:01,6,2,4,50.0%,2,4,50.0%,0,0,-,0,3,3,0,0,1,0,0,1,1,0,8
8769,27,-,小林 大起,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8530,36,-,仲摩 匠平,SG,06:11,3,1,2,50.0%,1,2,50.0%,0,0,-,0,1,1,0,0,0,0,0,2,0,0,3
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,4,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,78,28,57,49.1%,7,20,35.0%,15,25,60.0%,6,34,40,15,10,4,3,3,19,24,2,91
