id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8714,1,-,大森 勇,G,05:27,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,3,0,0,0
8715,5,〇,千葉 慎也,F,22:27,5,1,2,50.0%,1,2,50.0%,2,2,100.0%,0,1,1,2,1,0,0,0,3,1,0,6
9452,7,〇,ニカエス・ドークス,PF/C,29:01,7,3,9,33.3%,0,0,-,1,2,50.0%,5,8,13,0,2,2,0,1,4,1,1,13
8757,13,〇,小原 良公,G,33:03,4,2,5,40.0%,0,2,0.0%,0,0,-,1,4,5,1,2,2,0,1,2,4,0,7
8717,21,〇,澤口 誠,G/F,30:55,13,6,18,33.3%,0,3,0.0%,1,2,50.0%,0,3,3,3,1,0,0,0,1,3,0,5
9492,22,-,アダム・ドレクスラー,F,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8716,23,-,小寺 裕介,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8763,24,-,ドナルド・ローソン,PF/C,27:53,0,0,2,0.0%,0,0,-,0,2,0.0%,2,7,9,1,2,0,0,1,0,4,0,4
8718,30,-,鈴木 友貴,SG,04:01,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
8756,34,-,小野寺 祥太,SG,16:18,0,0,4,0.0%,0,2,0.0%,0,0,-,1,0,1,0,3,1,0,0,0,1,0,-5
8758,54,-,澤地 サミュエル Jr,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8755,68,〇,永田 晃司,G,30:55,9,3,9,33.3%,1,3,33.3%,2,3,66.7%,2,0,2,2,4,1,0,0,4,2,0,3
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,4,0,0,0,0,0,0,-2
,,,合計,,200:00,38,15,50,30.0%,2,13,15.4%,6,11,54.5%,11,25,36,9,19,6,0,3,17,16,1,30
