id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9395,1,-,山下 颯,PF,02:00,1,0,0,-,0,0,-,1,2,50.0%,0,0,0,0,0,1,0,0,0,1,0,1
9394,2,-,タイメル・マーフィー,SF,13:17,15,7,12,58.3%,0,1,0.0%,1,7,14.3%,3,1,4,1,0,2,0,0,1,4,0,11
9396,3,〇,鮫島 和人,PG,31:15,0,0,6,0.0%,0,2,0.0%,0,0,-,1,1,2,5,0,0,0,0,4,0,0,1
10882,6,〇,ビクラムジット・ギル,SF/PF,20:09,11,4,8,50.0%,2,4,50.0%,1,2,50.0%,1,5,6,0,6,1,0,0,2,1,1,7
9397,7,-,頭山 竜之介,PG,10:24,0,0,2,0.0%,0,1,0.0%,0,0,-,1,0,1,1,0,0,0,0,0,2,0,0
9401,10,-,林 亮太,PG,07:58,2,1,4,25.0%,0,3,0.0%,0,0,-,0,1,1,1,1,0,0,0,1,1,0,0
9402,12,〇,藤田 浩司,SF,26:02,11,4,15,26.7%,2,9,22.2%,1,2,50.0%,3,4,7,0,1,1,0,2,3,1,0,6
9432,14,-,チュクゥディエベレ・マドゥアバム,PF/C,26:03,14,6,10,60.0%,0,0,-,2,2,100.0%,1,7,8,0,1,0,1,1,1,2,0,18
9406,24,-,玉田 博人,SG,04:43,2,1,1,100.0%,0,0,-,0,0,-,2,0,2,1,1,0,0,0,0,0,0,4
9408,39,-,中園 隆一郎,PF,17:16,7,3,9,33.3%,0,2,0.0%,1,1,100.0%,1,0,1,0,0,1,0,0,1,1,0,3
9409,41,〇,松崎 圭介,SF,24:15,0,0,4,0.0%,0,4,0.0%,0,0,-,1,1,2,1,3,2,0,1,3,1,0,-2
9410,51,〇,安慶 大樹,PF,16:38,4,2,6,33.3%,0,0,-,0,0,-,0,3,3,0,1,1,0,0,2,0,0,3
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,4,7,0,0,0,0,0,0,0,0,7
,,,合計,,200:00,67,28,77,36.4%,4,26,15.4%,7,16,43.8%,17,27,44,10,14,9,1,4,18,14,1,59
