id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8602,1,-,一色 翔太,SG,25:40,7,1,2,50.0%,1,2,50.0%,4,4,100.0%,0,0,0,1,0,0,0,0,3,3,0,7
9083,7,〇,リック・リカート,C,29:05,17,8,13,61.5%,0,0,-,1,2,50.0%,4,7,11,1,1,0,0,0,0,1,0,22
10834,10,-,アンドリュー・ランダル,SF/PF,28:28,24,8,15,53.3%,0,1,0.0%,8,9,88.9%,0,5,5,3,3,2,1,2,2,8,0,24
8641,11,-,山口 祐希,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10872,12,-,大友 隆太郎,SG/SF,07:41,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,1,0,0,-1
8733,25,-,米澤 翼,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8604,27,〇,眞庭 城聖,PF,33:18,12,4,7,57.1%,1,3,33.3%,3,3,100.0%,0,2,2,2,4,0,1,0,2,4,0,10
8605,32,〇,前田 陽介,PF,26:21,4,1,3,33.3%,0,2,0.0%,2,2,100.0%,0,5,5,2,2,0,0,0,1,2,0,7
8511,33,〇,青島 心,C,19:30,10,4,9,44.4%,0,0,-,2,3,66.7%,2,8,10,0,1,0,0,0,4,3,0,13
8606,37,〇,河野 誠司,PG,29:55,8,2,6,33.3%,2,5,40.0%,2,2,100.0%,0,2,2,3,1,0,1,0,3,2,0,9
9463,43,-,岡村 憲司,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8640,91,-,佐藤 浩貴,C,00:02,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,3,3,0,1,0,0,0,0,0,0,2
,,,合計,,200:00,82,28,55,50.9%,4,13,30.8%,22,25,88.0%,6,32,38,12,14,2,3,2,16,23,0,93
