id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9498,0,-,アジーズ・エンダイ,C,25:05,7,2,7,28.6%,0,0,-,3,4,75.0%,2,9,11,0,1,1,2,2,1,3,1,14
8534,2,〇,朝山 正悟,SG/SF,22:18,12,4,7,57.1%,4,4,100.0%,0,0,-,1,0,1,1,0,0,0,0,1,0,0,11
8768,5,〇,山田 大治,PF/C,29:20,8,3,9,33.3%,0,0,-,2,2,100.0%,2,3,5,4,2,0,1,1,3,3,0,10
8531,7,-,坂田 央,SF,02:50,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,0,0,0,0,0,1
8533,8,-,岡崎 修司,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8532,11,〇,北川 弘,PG,26:23,13,6,12,50.0%,0,3,0.0%,1,1,100.0%,1,6,7,4,3,0,0,0,2,5,0,15
9088,12,-,ダニエル・ディロン,PG/SG,11:58,6,2,4,50.0%,0,0,-,2,3,66.7%,0,1,1,2,3,2,1,1,1,4,0,6
8529,18,-,鵤 誠司,PG,27:12,14,5,11,45.5%,1,2,50.0%,3,6,50.0%,0,0,0,2,1,4,0,3,1,3,0,10
9089,21,〇,コナー・ ラマート,SF/PF,22:28,7,2,3,66.7%,1,1,100.0%,2,2,100.0%,0,5,5,2,1,0,3,0,3,5,0,15
8528,24,〇,田中 成也,SG,32:26,11,4,10,40.0%,3,5,60.0%,0,1,0.0%,1,5,6,2,1,0,0,0,2,0,0,11
8769,27,-,小林 大起,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8530,36,-,仲摩 匠平,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,0,2,0,0,0,0,0,0,0,0,2
,,,合計,,200:00,78,28,63,44.4%,9,15,60.0%,13,19,68.4%,10,29,39,17,12,7,7,7,14,23,1,95
