id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8614,0,-,山本 柊輔,PG,13:28,2,1,2,50.0%,0,0,-,0,0,-,0,1,1,2,1,0,0,0,1,2,0,3
8615,1,-,村上 駿斗,SG,23:27,12,5,15,33.3%,2,5,40.0%,0,0,-,0,0,0,2,0,0,0,0,1,0,0,4
9456,2,-,ゲイリー・ハミルトン,C,14:58,6,3,5,60.0%,0,0,-,0,2,0.0%,2,8,10,0,1,0,0,1,3,1,0,11
8617,5,-,目 健人,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8618,6,-,藤岡 昂希,SF,10:55,2,1,3,33.3%,0,1,0.0%,0,1,0.0%,0,1,1,0,0,1,0,0,2,3,0,1
8619,7,〇,佐々木 瑛,SG,07:41,2,1,2,50.0%,0,1,0.0%,0,0,-,0,0,0,1,0,0,0,0,1,0,0,2
8620,9,〇,佐藤 正成,SG,29:36,5,2,9,22.2%,0,4,0.0%,1,2,50.0%,1,1,2,2,0,2,0,0,2,1,0,3
9372,10,〇,マーカリ・サンダース・フリソン,PF,25:02,10,5,13,38.5%,0,1,0.0%,0,4,0.0%,4,7,11,2,0,1,0,1,2,3,0,12
8621,14,〇,高橋 祐二,PG,26:32,5,2,5,40.0%,0,0,-,1,1,100.0%,0,2,2,2,3,3,0,1,1,1,0,6
9430,15,-,セス・ターバー,SF,20:00,16,7,15,46.7%,0,3,0.0%,2,4,50.0%,2,5,7,0,1,1,0,2,2,4,0,13
8759,32,〇,小島 佑太,PF,28:21,2,1,4,25.0%,0,1,0.0%,0,0,-,1,3,4,1,2,2,3,1,4,0,0,7
8622,50,-,伊澤 実孝,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
