id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9331,0,-,セドリック・ボーズマン,SF,19:32,14,6,16,37.5%,0,2,0.0%,2,2,100.0%,0,2,2,3,1,1,1,1,4,2,0,10
9374,2,-,テレンス・シャノン,18:59,6,3,9,33.3%,0,0,-,0,0,-,2,5,7,0,0,0,0,1,3,0,0,7,
9330,4,-,猪狩 渉,PG,03:38,0,0,2,0.0%,0,0,-,0,0,-,0,0,0,0,1,0,0,0,1,0,0,-3
8673,5,〇,友利 健哉,PG,28:39,9,3,11,27.3%,1,3,33.3%,2,2,100.0%,1,1,2,0,0,0,0,0,1,1,0,3
8674,8,〇,村上 慎也,PG,34:02,4,2,7,28.6%,0,2,0.0%,0,0,-,2,0,2,0,2,1,1,1,1,3,0,1
8675,9,-,野上 淳史,SF,05:53,3,1,1,100.0%,1,1,100.0%,0,0,-,0,0,0,1,0,0,0,0,2,0,0,4
9332,11,〇,ナイジェル・スパイクス,PF/C,21:29,16,6,11,54.5%,0,0,-,4,8,50.0%,6,8,14,0,2,1,1,0,4,6,1,21
8676,17,〇,堀 洋輔,PF,16:20,3,1,5,20.0%,0,0,-,1,4,25.0%,6,1,7,0,1,0,1,2,4,2,0,3
8677,21,〇,菅野 翔太,SF,23:42,1,0,5,0.0%,0,3,0.0%,1,1,100.0%,0,0,0,3,1,0,0,0,3,0,0,-2
10852,23,-,水野 幹太,PG,14:22,2,1,7,14.3%,0,3,0.0%,0,0,-,0,2,2,2,0,1,1,1,0,0,0,2
8678,28,-,枡田 祐介,SF,12:20,4,2,3,66.7%,0,0,-,0,0,-,0,1,1,1,1,1,0,0,0,0,0,5
8679,41,-,輪島 射矢,PG/SG,01:04,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
