id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8665,1,-,和田 保彦,PG/SG,13:53,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,2,0,0,0,0,2,1,0,2
8666,2,-,德川 慎之介,SG,02:07,0,0,0,-,0,0,-,0,2,0.0%,0,0,0,0,0,0,0,0,0,1,0,-2
8667,5,〇,武井 弘明,PG,27:27,6,2,9,22.2%,1,6,16.7%,1,2,50.0%,1,1,2,1,1,0,0,0,2,2,0,0
8668,6,-,齋藤 崇人,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8669,7,-,古橋 広樹,SG,10:09,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-1
10835,9,〇,ジェロエン・バンダーリスト,PF/C,24:40,3,1,8,12.5%,0,4,0.0%,1,4,25.0%,1,4,5,1,4,0,2,0,1,3,0,-3
10842,10,-,三ツ井 利也,SF/PF,08:00,5,2,4,50.0%,1,2,50.0%,0,0,-,0,2,2,0,0,0,0,0,2,0,0,5
8670,11,〇,齊藤 洋介,SG,25:47,12,5,7,71.4%,2,2,100.0%,0,0,-,0,0,0,4,1,0,0,0,1,1,0,13
9404,22,-,チャド・ポスチュマス,26:40,17,5,9,55.6%,0,0,-,7,11,63.6%,6,5,11,1,3,0,0,3,4,6,0,18,
8671,24,〇,鈴木 大,PG/SG,32:37,6,3,7,42.9%,0,3,0.0%,0,0,-,1,2,3,5,3,1,1,1,1,0,0,9
8672,26,〇,上杉 翔,SF/PF,20:00,7,3,4,75.0%,0,1,0.0%,1,2,50.0%,0,5,5,0,1,0,2,0,1,2,0,11
9067,35,-,エグゼビア・フォード,SF/PF,08:40,5,2,4,50.0%,1,2,50.0%,0,0,-,0,2,2,0,3,0,0,0,0,1,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,4,6,0,0,0,0,0,0,0,0,6
,,,合計,,200:00,61,23,54,42.6%,5,21,23.8%,10,21,47.6%,11,26,37,14,16,1,5,4,15,17,0,60
