id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8558,0,〇,本多 純平,SF,21:40,12,6,9,66.7%,0,1,0.0%,0,0,-,2,1,3,0,1,1,1,2,4,0,0,13
9074,3,-,樋口 真斗,SG,09:52,0,0,4,0.0%,0,3,0.0%,0,0,-,0,0,0,1,1,0,0,0,1,1,0,-4
9426,7,-,ルーベン・ボイキン,PF,26:59,15,5,10,50.0%,4,5,80.0%,1,2,50.0%,4,4,8,3,2,2,0,0,4,2,0,20
9075,8,-,菊池 広明,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8559,9,〇,桝本 純也,SG,12:59,6,2,2,100.0%,1,1,100.0%,1,1,100.0%,2,0,2,1,0,0,0,0,1,1,0,9
8562,13,-,小松 秀平,SG,27:26,19,6,12,50.0%,5,10,50.0%,2,2,100.0%,1,4,5,1,0,3,0,0,2,2,0,22
8560,15,-,寺下 太基,PF,28:47,9,3,10,30.0%,0,1,0.0%,3,4,75.0%,6,3,9,1,2,0,0,0,3,3,0,9
8474,18,〇,加藤 竜太,PG,21:35,0,0,2,0.0%,0,0,-,0,0,-,0,2,2,0,2,4,0,0,3,0,0,2
8561,25,〇,平尾 充庸,PG,32:41,17,8,15,53.3%,1,3,33.3%,0,0,-,1,2,3,7,3,1,0,1,3,1,0,18
10831,30,-,テレンス・ウッドベリー,SF,30:56,26,8,18,44.4%,2,6,33.3%,8,8,100.0%,0,7,7,3,3,3,0,1,4,5,0,26
9076,32,〇,アンディ・オガデ,PF,12:05,0,0,5,0.0%,0,2,0.0%,0,0,-,1,2,3,0,3,0,0,0,1,0,0,-5
