id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8602,1,〇,一色 翔太,SG,29:21,17,4,9,44.4%,3,6,50.0%,6,6,100.0%,0,2,2,1,1,1,0,0,3,5,0,15
8603,2,〇,夏 達維,SF,13:08,0,0,4,0.0%,0,1,0.0%,0,1,0.0%,0,0,0,0,1,0,0,0,0,1,0,-6
9083,7,〇,リック・リカート,C,33:51,31,13,26,50.0%,1,2,50.0%,4,6,66.7%,7,13,20,2,3,1,0,0,2,8,0,36
8641,11,-,山口 祐希,PG,19:24,0,0,3,0.0%,0,0,-,0,0,-,0,1,1,2,0,2,0,0,1,1,0,2
9084,14,-,ローガン・スタッツ,PF,18:30,15,6,9,66.7%,0,0,-,3,4,75.0%,5,3,8,0,1,0,0,1,3,3,0,18
8733,25,-,米澤 翼,SG,15:11,7,3,3,100.0%,1,1,100.0%,0,0,-,0,0,0,0,3,1,0,0,4,0,0,5
8604,27,-,眞庭 城聖,PF,16:42,4,2,4,50.0%,0,0,-,0,0,-,0,1,1,4,0,1,1,0,1,2,0,9
8605,32,-,前田 陽介,PF,16:48,1,0,6,0.0%,0,4,0.0%,1,1,100.0%,0,1,1,2,0,0,0,0,1,2,0,-2
9085,33,-,ジャーフロー・ラーカイ,PF/C,07:39,4,2,2,100.0%,0,0,-,0,0,-,1,1,2,0,2,0,1,0,1,1,0,5
8606,37,〇,河野 誠司,PG,20:36,0,0,1,0.0%,0,0,-,0,0,-,1,4,5,1,0,1,0,0,1,1,0,6
8640,91,〇,佐藤 浩貴,C,08:50,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,0,0,0,2
