id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9068,0,-,谷口 淳,PF,15:29,2,1,3,33.3%,0,0,-,0,0,-,1,3,4,1,1,0,0,0,2,1,0,4
8541,2,-,丸山 公平,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8535,3,-,松崎 賢人,PG,06:26,0,0,2,0.0%,0,1,0.0%,0,0,-,0,1,1,1,0,0,0,0,0,2,0,0
8705,8,〇,竹野 明倫,PG,33:34,17,6,9,66.7%,5,7,71.4%,0,0,-,1,4,5,6,2,2,1,0,1,5,0,26
8536,9,〇,谷 直樹,SF,27:21,15,6,8,75.0%,2,3,66.7%,1,2,50.0%,0,3,3,2,3,1,1,0,0,1,0,16
8537,10,-,坂井 レオ,PF/C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8538,13,-,道原 紀晃,PG/SG,29:29,15,4,8,50.0%,3,5,60.0%,4,4,100.0%,3,2,5,4,0,1,0,0,2,2,0,21
9069,15,-,ラリー・オーウェンス,SF/PF,26:03,12,4,11,36.4%,2,6,33.3%,2,4,50.0%,0,3,3,1,0,0,0,0,2,3,0,7
8539,19,〇,梁川 禎浩,SG,23:10,7,3,9,33.3%,1,1,100.0%,0,0,-,0,1,1,3,1,4,0,0,0,1,0,8
8540,24,-,石橋 晴行,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9070,27,〇,石塚 裕也,PF,04:31,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,3,1,0,1
9071,44,〇,ウィル・クリークモア,PF/C,33:57,14,5,11,45.5%,2,4,50.0%,2,4,50.0%,2,8,10,3,4,2,0,0,3,5,0,17
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,0,2,0,1,0,0,0,0,0,0,1
,,,合計,,200:00,82,29,61,47.5%,15,27,55.6%,9,14,64.3%,9,26,35,21,12,10,2,0,13,21,0,101
