id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9208,0,〇,上田 雅也,SG,31:34,2,1,6,16.7%,0,4,0.0%,0,0,-,0,3,3,2,4,0,1,0,4,0,0,-1
9321,3,〇,西 裕太郎,PG,28:33,0,0,6,0.0%,0,4,0.0%,0,0,-,0,4,4,1,4,1,0,0,2,0,0,-4
10261,5,-,タイラス・ウェイド,PF,20:29,16,6,11,54.5%,1,3,33.3%,3,3,100.0%,3,7,10,0,2,0,0,0,0,0,0,19
9437,13,-,ブレント ジェニングス,SF,19:49,14,5,12,41.7%,2,3,66.7%,2,3,66.7%,0,1,1,1,3,0,1,0,3,0,0,6
9324,17,-,早川 大史,C,06:16,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
9325,23,〇,佐々木 優希,SF,28:45,6,2,8,25.0%,0,2,0.0%,2,4,50.0%,1,2,3,0,1,0,0,0,1,0,0,0
9438,30,-,中島 卓也,SG,03:41,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-1
10264,35,〇,サイラス・テイト,PF/C,19:42,6,2,7,28.6%,0,0,-,2,2,100.0%,1,6,7,0,3,0,0,0,2,0,0,5
9327,66,-,庄司 優也,SG,17:12,8,4,10,40.0%,0,3,0.0%,0,0,-,2,0,2,1,0,0,0,0,0,0,0,5
9440,92,〇,新里 智将,SG,23:59,5,2,4,50.0%,1,3,33.3%,0,0,-,0,2,2,0,0,0,0,0,3,0,0,5
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,4,6,0,0,0,0,0,0,0,0,6
,,,合計,,200:00,57,22,64,34.4%,4,22,18.2%,9,12,75.0%,9,29,38,5,18,1,2,0,16,0,0,40
