id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9239,1,〇,仲西 淳,SG,20:58,9,3,7,42.9%,3,7,42.9%,0,0,-,0,2,2,2,0,1,0,0,2,0,0,10
9241,3,〇,亀崎 光博,SF,37:58,13,5,12,41.7%,1,3,33.3%,2,2,100.0%,0,5,5,2,1,1,0,1,1,0,0,13
9242,5,〇,田中 良拓,SG,15:14,3,1,3,33.3%,0,0,-,1,2,50.0%,0,0,0,1,0,1,0,0,3,0,0,2
9243,6,-,佐野 隆司,SF,12:16,5,2,6,33.3%,1,3,33.3%,0,0,-,2,1,3,0,0,0,0,0,2,0,0,4
9465,7,-,ブレンナン・マックエルロイ,PF,20:13,5,1,4,25.0%,0,0,-,3,4,75.0%,3,6,9,3,0,2,1,0,1,0,0,16
9445,11,-,アールジェイ・スローソン,PF,16:56,10,5,9,55.6%,0,0,-,0,0,-,3,2,5,1,2,1,1,0,1,0,0,12
9446,12,〇,エリック・アンダーソン,PF,22:51,22,10,16,62.5%,0,0,-,2,2,100.0%,3,4,7,3,1,1,0,1,1,0,0,26
9244,22,-,武田 倫太郎,SG,20:26,7,3,4,75.0%,0,1,0.0%,1,1,100.0%,0,3,3,1,2,0,0,0,1,0,0,8
9246,30,-,高橋 幸大,PG,19:02,15,4,9,44.4%,3,6,50.0%,4,4,100.0%,1,6,7,2,0,0,1,0,4,0,0,20
9247,31,〇,師玉 祐一,SF,14:06,0,0,4,0.0%,0,3,0.0%,0,0,-,0,1,1,1,0,1,1,0,1,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-1
,,,合計,,200:00,89,34,74,45.9%,8,23,34.8%,13,15,86.7%,12,30,42,16,7,8,4,2,17,0,0,110
