id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9277,3,-,髙橋 理輝,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9279,8,-,五十嵐 貴志,PF,13:48,0,0,2,0.0%,0,1,0.0%,0,0,-,1,2,3,1,1,0,0,0,3,0,0,1
9280,9,-,足立 尚也,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10260,14,-,ニヨキゼラ・イーヴェ,C,28:46,11,4,8,50.0%,0,0,-,3,7,42.9%,1,9,10,0,0,0,0,0,1,0,0,13
9281,15,〇,落合 恭兵,PF,04:26,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
9282,17,-,石原 裕貴,PG,08:42,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,1,0,0,0,1,0,0,-2
9283,22,〇,小阪 彰久,C,11:10,0,0,0,-,0,0,-,0,0,-,2,1,3,1,0,0,0,0,1,0,0,4
9284,28,-,熊谷 慎也,C,00:04,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9285,33,〇,藤田 俊祐,SF,25:04,15,7,9,77.8%,1,1,100.0%,0,0,-,0,2,2,0,1,0,1,0,3,0,0,15
9286,34,-,加藤 慧,SG,33:15,22,8,15,53.3%,5,8,62.5%,1,1,100.0%,0,3,3,7,1,1,0,1,4,0,0,25
9287,37,〇,渡邊 拓実,PG,02:12,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-2
9288,39,-,梅津 敬介,C,31:08,16,7,14,50.0%,2,6,33.3%,0,0,-,1,5,6,1,0,0,0,0,0,0,0,16
9289,55,〇,熊澤 恭平,SG,30:42,13,5,12,41.7%,1,3,33.3%,2,2,100.0%,0,2,2,2,2,1,0,0,2,0,0,9
9290,76,-,合瀬 教成,SG,10:43,2,1,4,25.0%,0,1,0.0%,0,0,-,0,1,1,1,2,0,0,0,2,0,0,-1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,1,4,0,2,0,0,0,0,0,0,2
,,,合計,,200:00,79,32,67,47.8%,9,22,40.9%,6,10,60.0%,8,26,34,13,11,2,1,1,17,0,0,79
