id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9442,3,-,満島 光太郎,PG,02:32,0,0,1,0.0%,0,0,-,0,0,-,0,1,1,1,0,1,1,0,0,0,0,3
9310,5,〇,山下 泰弘,PG,20:42,7,3,4,75.0%,1,2,50.0%,0,0,-,1,6,7,2,3,3,0,0,1,0,0,15
9311,6,〇,小林 大祐,SG,24:19,14,4,7,57.1%,0,1,0.0%,6,7,85.7%,1,1,2,2,0,2,0,0,2,0,0,16
9312,7,-,北向 由樹,PG,10:48,5,2,6,33.3%,1,3,33.3%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,1
9313,8,〇,薦田 拓也,SF,20:36,17,8,13,61.5%,1,1,100.0%,0,0,-,1,1,2,0,0,0,0,0,0,0,0,14
9314,9,-,堤 啓士朗,PG,10:45,7,3,3,100.0%,1,1,100.0%,0,0,-,0,1,1,1,2,0,0,0,1,0,0,7
9443,11,〇,マシュー・アマニング,PF,18:52,18,8,11,72.7%,0,0,-,2,5,40.0%,1,6,7,2,1,1,2,0,0,0,0,23
9315,21,-,加納 督大,PG,14:45,5,1,2,50.0%,0,0,-,3,4,75.0%,1,3,4,1,0,0,0,1,2,0,0,8
9316,22,-,ジョシュ ペッパーズ,PF,20:00,18,5,9,55.6%,2,5,40.0%,6,6,100.0%,1,2,3,0,1,3,0,0,2,0,0,19
9317,24,-,石谷 聡,PG,16:10,2,1,4,25.0%,0,0,-,0,0,-,0,1,1,2,0,1,0,0,1,0,0,3
9444,32,-,アイザイア・アームウッド,PF,21:08,7,3,5,60.0%,0,1,0.0%,1,2,50.0%,3,9,12,3,1,1,2,0,1,0,0,21
9319,41,〇,加納 誠也,PF,19:23,0,0,4,0.0%,0,1,0.0%,0,0,-,1,1,2,1,1,0,0,0,1,0,0,-2
