id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9309,1,-,長島 エマニエル,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10871,2,-,小澤 智将,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9442,3,-,満島 光太郎,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9310,5,〇,山下 泰弘,PG,28:25,5,2,3,66.7%,1,1,100.0%,0,0,-,0,3,3,1,1,3,1,0,0,0,0,11
9311,6,〇,小林 大祐,SG,24:49,18,8,11,72.7%,2,3,66.7%,0,2,0.0%,0,7,7,3,0,0,1,0,1,0,0,24
9312,7,-,北向 由樹,PG,07:42,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,1,0,1,0,0,0,0,0,1
9313,8,-,薦田 拓也,SF,23:39,6,3,5,60.0%,0,0,-,0,0,-,0,1,1,1,1,0,0,0,0,0,0,5
9443,11,〇,マシュー・アマニング,PF,28:19,23,10,16,62.5%,1,2,50.0%,2,8,25.0%,2,6,8,2,6,0,0,1,1,0,0,15
9315,21,-,加納 督大,PG,06:02,0,0,2,0.0%,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-3
9316,22,-,ジョシュ・ペッパーズ,PF,20:00,15,6,9,66.7%,0,1,0.0%,3,3,100.0%,1,5,6,1,3,1,0,0,3,0,0,17
9317,24,〇,石谷 聡,PG,29:23,6,2,7,28.6%,0,3,0.0%,2,2,100.0%,1,1,2,4,2,2,0,1,2,0,0,7
9319,41,〇,加納 誠也,PF,20:00,10,3,4,75.0%,1,2,50.0%,3,6,50.0%,2,2,4,0,0,3,0,0,2,0,0,13
10841,42,-,ブライアン・ブッチ,C,11:41,0,0,3,0.0%,0,2,0.0%,0,0,-,1,4,5,0,2,1,1,0,3,0,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,0,0,0,0,0,1
,,,合計,,200:00,83,34,61,55.7%,5,15,33.3%,10,21,47.6%,8,29,37,13,16,11,3,2,12,0,0,93
