id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9212,0,-,レイモンド ニクソン,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9214,3,-,横塚 蛍,PG,02:50,3,1,1,100.0%,1,1,100.0%,0,0,-,0,1,1,0,1,1,0,0,0,0,0,4
9215,7,-,塩塚 直人,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9217,13,-,西片 翼,SF,03:09,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0,0,0
9218,14,〇,兒玉 貴通,PG,33:00,11,5,12,41.7%,1,2,50.0%,0,0,-,1,2,3,3,4,2,0,0,1,0,0,8
9219,16,〇,鮫島 宗一郎,SF,27:41,7,3,13,23.1%,1,6,16.7%,0,0,-,2,2,4,2,2,0,0,1,1,0,0,1
9220,17,〇,田村 晋,PF,24:36,6,1,4,25.0%,0,1,0.0%,4,5,80.0%,1,1,2,3,3,0,0,0,3,0,0,4
9221,21,〇,筑波 拓朗,SF,23:03,8,4,6,66.7%,0,0,-,0,0,-,3,0,3,1,1,0,0,0,2,0,0,9
9434,24,-,ジョセフ ヲルフィンガー,C,22:28,12,5,10,50.0%,0,0,-,2,2,100.0%,5,6,11,0,2,0,1,2,1,0,0,17
9222,30,-,村田 翔,SF,18:02,7,2,6,33.3%,1,4,25.0%,2,3,66.7%,0,1,1,0,0,0,0,0,1,0,0,3
9223,32,-,長谷川 武,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9435,34,〇,カイル リチャードソン,PF,37:32,14,5,12,41.7%,0,0,-,4,4,100.0%,5,9,14,2,5,1,0,2,4,0,0,19
9224,41,-,砂川 貴哉,PF,07:39,2,1,2,50.0%,0,0,-,0,0,-,1,1,2,1,1,0,0,0,0,0,0,3
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,3,5,0,1,0,0,0,0,0,0,4
,,,合計,,200:00,70,27,66,40.9%,4,14,28.6%,12,14,85.7%,20,26,46,12,20,4,1,5,15,0,0,72
