id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9212,0,〇,レイモンド ニクソン,PF,26:04,20,8,15,53.3%,3,6,50.0%,1,3,33.3%,1,3,4,1,4,3,0,1,4,0,0,15
9213,2,-,坂本 裕基,SG,12:20,5,1,1,100.0%,0,0,-,3,4,75.0%,0,0,0,0,1,1,0,0,2,0,0,4
9214,3,-,横塚 蛍,PG,23:28,6,2,4,50.0%,1,1,100.0%,1,2,50.0%,0,1,1,0,0,0,0,0,1,0,0,4
9216,10,-,谷尾 俊紀,SF,05:13,0,0,0,-,0,0,-,0,0,-,0,1,1,0,1,0,0,0,2,0,0,0
9217,13,-,西片 翼,SF,01:45,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
9218,14,〇,兒玉 貴通,PG,17:54,4,2,6,33.3%,0,0,-,0,0,-,1,1,2,0,1,0,0,0,1,0,0,1
9219,16,〇,鮫島 宗一郎,SF,17:21,5,2,7,28.6%,1,3,33.3%,0,0,-,0,1,1,0,0,0,0,0,2,0,0,1
9220,17,-,田村 晋,PF,13:01,2,1,4,25.0%,0,0,-,0,0,-,0,2,2,2,0,0,0,0,3,0,0,3
9221,21,-,筑波 拓朗,SF,08:57,0,0,2,0.0%,0,0,-,0,0,-,1,1,2,0,0,0,0,0,0,0,0,0
9434,24,-,ジョセフ ヲルフィンガー,C,11:37,3,0,2,0.0%,0,0,-,3,4,75.0%,1,2,3,0,1,0,1,1,1,0,0,3
9222,30,-,村田 翔,SF,12:54,2,0,2,0.0%,0,1,0.0%,2,2,100.0%,1,0,1,0,0,0,0,0,1,0,0,1
9223,32,〇,長谷川 武,PF,16:27,5,2,3,66.7%,0,1,0.0%,1,1,100.0%,0,3,3,1,2,0,0,0,3,0,0,6
9435,34,-,カイル リチャードソン,PF,20:48,9,2,5,40.0%,0,0,-,5,6,83.3%,3,3,6,1,2,0,0,0,2,0,0,10
9224,41,-,砂川 貴哉,PF,02:51,0,0,0,-,0,0,-,0,0,-,0,1,1,1,1,0,0,0,2,0,0,1
9225,91,〇,佐藤 雄太郎,SF,09:20,1,0,2,0.0%,0,1,0.0%,1,2,50.0%,1,1,2,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,2,0,0,0,0,0,0,0
,,,合計,,200:00,62,20,53,37.7%,5,13,38.5%,17,24,70.8%,9,22,31,6,15,4,1,2,25,0,0,49
