id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9249,0,-,浅野 崇史,SF,19:58,8,2,4,50.0%,0,0,-,4,5,80.0%,2,0,2,1,0,1,0,0,3,0,0,9
9250,1,〇,池田 裕介,SG,40:00,5,2,3,66.7%,0,1,0.0%,1,2,50.0%,1,1,2,1,2,0,0,0,4,0,0,4
9251,4,〇,ブライアン・ハーパー,SF,23:48,12,5,7,71.4%,1,2,50.0%,1,2,50.0%,2,7,9,1,4,1,0,0,4,0,0,16
9252,6,-,金井 賢治,PF,07:12,9,3,5,60.0%,3,5,60.0%,0,0,-,0,0,0,0,0,0,0,0,1,0,0,7
9254,14,-,地久里 謙成,SF,14:07,10,3,7,42.9%,2,5,40.0%,2,2,100.0%,0,0,0,0,0,0,0,0,1,0,0,6
9256,24,-,兼子 勇太,SF,08:09,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,0,0,0,0,0,2,0,0,0
9257,27,-,上松 大輝,SF,12:40,0,0,2,0.0%,0,1,0.0%,0,0,-,1,2,3,1,1,0,0,0,2,0,0,1
9258,30,〇,鳴海 亮,PG,25:13,2,1,3,33.3%,0,1,0.0%,0,0,-,1,3,4,4,3,1,0,0,2,0,0,6
9259,32,〇,エドワード・モリス,PF,25:51,7,2,13,15.4%,1,4,25.0%,2,4,50.0%,1,3,4,2,6,5,0,1,3,0,0,-1
9260,39,-,中村 寛大,PG,14:47,4,2,4,50.0%,0,0,-,0,0,-,0,1,1,2,1,0,0,0,2,0,0,4
9261,52,-,アレクサンダー・ジョーンズ,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9262,77,〇,大金 広弥,SG,08:15,1,0,2,0.0%,0,2,0.0%,1,4,25.0%,1,3,4,0,0,0,0,0,3,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,0,1,0,1,0,0,0,0,0,0,0
,,,合計,,200:00,58,20,51,39.2%,7,22,31.8%,11,19,57.9%,10,21,31,12,18,8,0,1,27,0,0,52
