id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9208,0,〇,上田 雅也,SG,24:52,6,2,9,22.2%,0,3,0.0%,2,2,100.0%,1,2,3,1,0,1,0,1,0,0,0,4
9321,3,-,西 裕太郎,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9436,5,-,タイ・アームストロング,PF,13:54,2,1,7,14.3%,0,2,0.0%,0,0,-,1,3,4,0,3,0,0,0,3,0,0,-3
9322,7,-,春日 勇志,PG,13:53,2,0,1,0.0%,0,1,0.0%,2,2,100.0%,0,0,0,0,1,1,0,0,1,0,0,1
9209,9,〇,小柴 静,SF,25:48,9,4,5,80.0%,0,0,-,1,2,50.0%,0,1,1,1,1,0,0,0,4,0,0,8
9497,11,-,今井 宏樹,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9323,12,-,小渡 将貴,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9437,13,〇,ブレント・ジェニングス,SF,28:54,27,12,23,52.2%,1,5,20.0%,2,3,66.7%,4,9,13,5,2,2,1,1,5,0,0,34
9324,17,〇,早川 大史,C,17:55,1,0,0,-,0,0,-,1,2,50.0%,0,1,1,1,1,1,0,0,1,0,0,2
9325,23,-,佐々木 優希,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9326,25,-,羽田 大亮,SG,09:56,0,0,2,0.0%,0,1,0.0%,0,0,-,0,0,0,1,1,3,0,0,0,0,0,1
9438,30,〇,中島 卓也,SG,36:49,16,6,13,46.2%,4,11,36.4%,0,0,-,0,2,2,0,4,0,0,0,0,0,0,7
9439,35,-,スタンフォード・ブラウン,PF,13:23,2,1,2,50.0%,0,0,-,0,0,-,0,3,3,0,2,0,0,0,5,0,0,2
9453,91,-,田渡 敏信,SF,14:36,5,2,2,100.0%,1,1,100.0%,0,0,-,0,0,0,0,0,1,0,0,1,0,0,6
9440,92,-,新里 智将,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,4,4,0,1,0,0,0,0,0,0,3
,,,合計,,200:00,70,28,64,43.8%,6,24,25.0%,8,11,72.7%,6,25,31,9,16,9,1,2,20,0,0,65
