id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9212,0,-,レイモンド ニクソン,PF,18:54,12,5,9,55.6%,1,4,25.0%,1,1,100.0%,1,4,5,3,0,1,0,0,1,0,0,17
9213,2,-,坂本 裕基,SG,07:19,3,0,1,0.0%,0,0,-,3,4,75.0%,1,0,1,0,0,1,0,0,1,0,0,3
9214,3,-,横塚 蛍,PG,15:39,2,1,5,20.0%,0,3,0.0%,0,0,-,3,1,4,1,3,0,0,0,2,0,0,0
9215,7,-,塩塚 直人,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9217,13,-,西片 翼,SF,02:34,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,0,0,0,0,0,2
9218,14,〇,兒玉 貴通,PG,25:53,4,2,6,33.3%,0,1,0.0%,0,2,0.0%,1,3,4,2,1,4,0,0,1,0,0,7
9219,16,〇,鮫島 宗一郎,SF,22:32,8,3,8,37.5%,2,2,100.0%,0,1,0.0%,0,4,4,0,1,1,0,0,1,0,0,6
9220,17,〇,田村 晋,PF,10:37,2,1,2,50.0%,0,0,-,0,0,-,0,2,2,0,1,0,0,1,0,0,0,2
9221,21,-,筑波 拓朗,SF,15:02,8,4,5,80.0%,0,0,-,0,1,0.0%,0,1,1,0,0,0,1,0,1,0,0,8
9434,24,〇,ジョセフ ヲルフィンガー,C,16:04,15,7,15,46.7%,0,1,0.0%,1,2,50.0%,6,10,16,0,1,1,0,2,0,0,0,22
9222,30,-,村田 翔,SF,08:55,1,0,2,0.0%,0,2,0.0%,1,3,33.3%,0,2,2,0,0,0,0,0,1,0,0,-1
9223,32,〇,長谷川 武,PF,20:51,8,3,5,60.0%,0,2,0.0%,2,2,100.0%,2,3,5,3,3,1,0,0,3,0,0,12
9435,34,-,カイル リチャードソン,PF,25:02,18,7,9,77.8%,0,0,-,4,5,80.0%,3,7,10,0,3,0,0,0,1,0,0,22
9224,41,-,砂川 貴哉,PF,06:45,2,1,2,50.0%,0,0,-,0,2,0.0%,0,1,1,0,1,1,0,0,0,0,0,0
9225,91,-,佐藤 雄太郎,SF,03:53,3,1,3,33.3%,1,2,50.0%,0,0,-,0,1,1,0,0,0,0,0,0,0,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
,,,合計,,200:00,86,35,72,48.6%,4,17,23.5%,12,23,52.2%,17,41,58,10,14,10,1,3,12,0,0,103
