id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9208,0,〇,上田 雅也,SG,32:40,19,7,9,77.8%,3,3,100.0%,2,2,100.0%,1,6,7,2,2,0,0,0,1,0,0,24
9321,3,-,西 裕太郎,PG,17:02,2,1,7,14.3%,0,1,0.0%,0,0,-,0,2,2,4,3,1,1,0,2,0,0,1
10261,5,-,タイラス・ウェイド,PF,12:59,2,1,3,33.3%,0,1,0.0%,0,0,-,2,3,5,0,1,0,0,0,2,0,0,4
9209,9,〇,小柴 静,SF,13:37,2,1,4,25.0%,0,2,0.0%,0,0,-,0,2,2,1,0,0,0,0,2,0,0,2
9497,11,-,今井 宏樹,PG,04:32,0,0,2,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-2
9437,13,-,ブレント・ジェニングス,SF,19:50,13,5,11,45.5%,0,1,0.0%,3,6,50.0%,4,9,13,4,2,3,0,0,1,0,0,22
9324,17,-,早川 大史,C,03:25,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-1
9325,23,〇,佐々木 優希,SF,23:37,4,2,6,33.3%,0,2,0.0%,0,0,-,0,4,4,1,1,0,0,0,2,0,0,4
9438,30,〇,中島 卓也,SG,16:27,3,1,4,25.0%,1,3,33.3%,0,0,-,0,1,1,0,0,1,0,0,1,0,0,2
10264,35,〇,サイラス・テイト,PF/C,27:11,17,7,10,70.0%,0,0,-,3,6,50.0%,2,5,7,1,2,2,1,0,1,0,0,20
9327,66,-,庄司 優也,SG,13:11,1,0,3,0.0%,0,2,0.0%,1,2,50.0%,0,2,2,0,1,1,0,0,2,0,0,-1
9440,92,-,新里 智将,SG,15:29,2,1,4,25.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,2,0,0,-1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,2,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,65,26,64,40.6%,4,17,23.5%,9,16,56.3%,11,36,47,13,12,8,2,0,17,0,0,78
