id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9310,5,-,山下 泰弘,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9311,6,〇,小林 大祐,SG,20:05,12,3,4,75.0%,1,2,50.0%,5,5,100.0%,2,2,4,4,1,0,0,0,2,0,0,18
9312,7,-,北向 由樹,PG,16:12,9,4,10,40.0%,1,3,33.3%,0,0,-,0,2,2,0,0,0,1,0,1,0,0,6
9313,8,〇,薦田 拓也,SF,20:57,10,5,12,41.7%,0,1,0.0%,0,0,-,0,3,3,1,2,0,0,1,2,0,0,5
9314,9,-,堤 啓士朗,PG,21:32,15,5,10,50.0%,0,0,-,5,11,45.5%,2,3,5,4,2,5,2,1,3,0,0,18
9443,11,〇,マシュー・アマニング,PF,07:35,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
9315,21,-,加納 督大,PG,17:46,4,2,2,100.0%,0,0,-,0,0,-,0,0,0,2,1,2,0,0,2,0,0,7
9316,22,-,ジョシュ・ペッパーズ,PF,28:34,31,12,17,70.6%,2,6,33.3%,5,5,100.0%,2,13,15,2,2,0,0,0,0,0,0,41
9317,24,〇,石谷 聡,PG,18:28,4,2,2,100.0%,0,0,-,0,0,-,0,1,1,2,1,2,0,0,4,0,0,8
9318,31,-,青野 文彦,C,06:23,0,0,0,-,0,0,-,0,0,-,0,1,1,1,1,0,0,0,1,0,0,1
9458,33,-,ビンゴ・メリエックス,PF,23:51,4,2,5,40.0%,0,1,0.0%,0,0,-,4,6,10,5,2,1,0,0,0,0,0,15
9319,41,〇,加納 誠也,PF,18:37,6,3,3,100.0%,0,0,-,0,0,-,0,1,1,0,1,1,0,0,0,0,0,7
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,0,0,0,0,0,0,2
,,,合計,,200:00,95,38,65,58.5%,4,13,30.8%,15,21,71.4%,11,34,45,21,13,11,3,2,15,0,0,129
