id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9292,0,-,原田 直哉,C,00:23,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
9294,3,-,藤田 兼士朗,SF,07:28,2,1,4,25.0%,0,0,-,0,0,-,0,0,0,1,1,0,0,0,2,0,0,-1
9466,5,〇,マシュー・ケンドリック,C,35:39,14,6,15,40.0%,1,5,20.0%,1,3,33.3%,1,8,9,0,2,3,0,0,1,0,0,13
9295,7,-,佐藤 大輔,SG,06:01,4,2,4,50.0%,0,1,0.0%,0,0,-,0,0,0,0,0,2,0,0,0,0,0,4
9296,10,〇,柳内 龍馬,SG,29:05,6,3,9,33.3%,0,0,-,0,0,-,1,1,2,3,2,2,0,1,3,0,0,5
9297,13,-,富田 敏幸,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9298,17,〇,隅廣 英二,PG,36:43,6,3,9,33.3%,0,1,0.0%,0,0,-,0,1,1,5,0,2,0,1,1,0,0,8
9300,20,-,若林 良,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9301,22,〇,阪下 博則,PF,10:00,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,1,0,0,2,0,0,2
10857,23,〇,國分 大輔,SF,24:15,10,4,12,33.3%,1,3,33.3%,1,2,50.0%,1,1,2,0,3,0,0,2,1,0,0,0
9302,24,-,水越 悠太,SF,02:16,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-1
9303,25,-,立野 俊史,SG,14:12,0,0,3,0.0%,0,1,0.0%,0,0,-,1,1,2,0,0,0,0,0,2,0,0,-1
9304,26,-,井林 宥輔,C,03:27,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
10856,56,-,川田 稜介,PF,26:33,6,3,11,27.3%,0,2,0.0%,0,0,-,2,3,5,0,0,3,0,2,3,0,0,6
9307,67,-,大八木 誉之,PF,03:58,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,0,1,0,0,1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,3,0,0,0,0,0,0,0
,,,合計,,200:00,48,22,68,32.4%,2,13,15.4%,2,5,40.0%,7,18,25,9,11,14,0,6,19,0,0,36
