id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8578,1,-,阿部 友和,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9055,2,〇,富樫 勇樹,PG,30:15,21,9,15,60.0%,3,7,42.9%,0,0,-,0,3,3,7,6,2,0,0,1,2,0,21
8579,3,〇,マイケル・パーカー,PF,26:43,12,5,7,71.4%,1,2,50.0%,1,2,50.0%,3,7,10,3,1,1,2,1,2,1,1,24
8448,10,-,アキ・チェンバース,SF,18:46,5,2,4,50.0%,0,1,0.0%,1,1,100.0%,0,2,2,1,2,0,0,0,2,1,0,4
8580,11,-,西村 文男,PG,13:08,7,2,4,50.0%,1,1,100.0%,2,2,100.0%,0,1,1,2,1,2,0,0,3,1,0,9
8593,21,〇,ギャビン・エドワーズ,PF,34:25,20,8,15,53.3%,0,1,0.0%,4,10,40.0%,6,9,15,3,1,1,1,1,3,11,3,26
8582,25,-,荒尾 岳,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8583,27,〇,石井 講祐,SG,18:25,13,5,11,45.5%,3,9,33.3%,0,0,-,0,1,1,3,0,0,0,0,1,0,0,11
8584,31,-,原 修太,SG/SF,18:12,3,1,3,33.3%,1,2,50.0%,0,0,-,0,1,1,1,1,1,0,0,1,0,0,3
12457,33,-,トニー・ガフニー,PF,16:34,2,1,2,50.0%,0,1,0.0%,0,0,-,2,4,6,1,1,0,2,0,1,0,0,9
8585,34,〇,小野 龍猛,SF/PF,21:14,6,2,7,28.6%,2,4,50.0%,0,0,-,0,2,2,1,1,0,0,1,0,0,0,3
8586,44,-,伊藤 俊亮,C,02:18,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,2,5,0,1,0,0,0,0,0,0,4
,,,合計,,200:00,89,35,68,51.5%,11,28,39.3%,8,15,53.3%,14,32,46,22,15,7,5,3,14,16,4,114
