id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8456,1,-,小島 元基,PG,16:07,4,2,5,40.0%,0,0,-,0,0,-,0,0,0,2,0,0,0,1,0,1,0,3
14301,2,-,齋藤 拓実,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8467,3,〇,安藤 誓哉,PG,23:53,18,8,10,80.0%,2,2,100.0%,0,0,-,0,2,2,2,0,1,0,0,1,1,0,21
12577,6,-,馬場 雄大,SF,14:18,4,1,3,33.3%,0,0,-,2,2,100.0%,0,1,1,0,0,2,0,0,0,1,0,5
9029,7,-,正中 岳城,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12578,9,-,ランデン・ルーカス,C,11:57,8,3,5,60.0%,0,0,-,2,2,100.0%,1,1,2,3,1,0,0,0,4,1,1,10
9031,10,-,ザック・バランスキー,SF/PF,22:22,4,2,4,50.0%,0,0,-,0,0,-,2,1,3,3,0,1,0,1,2,2,0,9
9032,13,〇,菊地 祥平,SF,15:16,2,1,4,25.0%,0,1,0.0%,0,0,-,1,0,1,0,1,1,0,0,2,1,0,0
9033,15,〇,竹内 譲次,PF/C,18:45,6,3,9,33.3%,0,3,0.0%,0,0,-,2,2,4,3,0,0,0,0,4,1,0,7
9037,24,〇,田中 大貴,SG,29:19,15,7,17,41.2%,1,5,20.0%,0,0,-,0,3,3,5,0,0,1,1,2,0,0,14
12580,31,-,ジャワッド・ウィリアムズ,PF,20:00,5,2,5,40.0%,0,3,0.0%,1,3,33.3%,0,0,0,0,0,1,0,0,3,4,1,1
12582,53,〇,アレックス・カーク,C,28:03,11,5,10,50.0%,0,0,-,1,1,100.0%,2,6,8,2,1,1,0,0,0,3,1,16
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,2,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,77,34,72,47.2%,3,14,21.4%,6,8,75.0%,10,18,28,20,3,7,1,3,18,15,3,90
