id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8642,0,-,遥 天翼,SF,14:35,2,1,3,33.3%,0,0,-,0,0,-,0,1,1,0,0,0,0,0,2,1,0,1
8643,3,-,畠山 俊樹,PG,24:13,17,7,9,77.8%,1,3,33.3%,2,3,66.7%,2,3,5,1,0,1,0,0,3,5,0,21
8471,5,-,佐藤 優樹,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8645,7,〇,五十嵐 圭,PG,28:39,15,6,12,50.0%,1,6,16.7%,2,2,100.0%,2,0,2,5,5,2,0,0,2,3,0,13
8515,11,-,鵜澤 潤,PF,07:16,0,0,1,0.0%,0,0,-,0,0,-,0,2,2,0,1,0,0,0,4,0,0,0
12581,15,-,オースティン・ダフォー,PF,08:17,2,1,3,33.3%,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1,0,0,1
10851,18,-,森井 健太,PG,11:21,3,1,2,50.0%,1,2,50.0%,0,0,-,0,0,0,1,0,0,0,0,1,0,0,3
14302,30,〇,今村 佳太,SG/SF,25:23,6,3,6,50.0%,0,1,0.0%,0,0,-,0,1,1,1,1,1,0,0,1,0,0,5
8731,31,〇,城宝 匡史,SG,12:51,0,0,4,0.0%,0,3,0.0%,0,0,-,0,0,0,1,2,0,0,0,1,0,0,-5
8476,32,-,池田 雄一,SF,15:42,0,0,3,0.0%,0,3,0.0%,0,0,-,0,2,2,0,0,0,0,0,2,0,0,-1
9384,34,〇,ラモント・ハミルトン,PF/C,24:17,8,3,8,37.5%,2,5,40.0%,0,0,-,1,5,6,3,1,2,0,2,3,0,0,13
9040,54,〇,ダバンテ・ガードナー,C,27:26,24,9,14,64.3%,1,2,50.0%,5,5,100.0%,1,5,6,1,1,2,1,1,2,6,1,28
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,0,0,0,2
,,,合計,,200:00,77,31,65,47.7%,6,25,24.0%,9,10,90.0%,6,22,28,13,11,8,1,3,22,15,1,81
