id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9027,1,-,セオン・エディ,SG,11:21,2,1,4,25.0%,0,2,0.0%,0,0,-,1,1,2,0,0,1,0,0,0,0,0,2
10256,2,-,ドゥレイロン・バーンズ,SG/SF,16:44,18,6,9,66.7%,2,5,40.0%,4,4,100.0%,0,3,3,5,0,2,0,0,3,4,0,25
8535,3,-,松崎 賢人,PG,10:42,2,0,1,0.0%,0,1,0.0%,2,2,100.0%,0,2,2,0,0,1,0,0,0,2,0,4
12596,5,-,ハーバート・ヒル,PF/C,23:07,15,6,17,35.3%,0,0,-,3,3,100.0%,2,3,5,0,1,1,1,4,2,4,1,10
8536,9,〇,谷 直樹,SF,14:46,2,0,3,0.0%,0,1,0.0%,2,2,100.0%,0,1,1,1,1,0,0,0,1,3,0,0
8538,13,〇,道原 紀晃,PG/SG,16:40,6,2,3,66.7%,0,0,-,2,2,100.0%,0,2,2,1,1,0,0,0,1,2,0,7
9068,15,-,谷口 淳,PF,09:20,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,1,0,0,0,1,1,0,-2
8539,19,〇,梁川 禎浩,SG,12:10,0,0,1,0.0%,0,0,-,0,0,-,0,4,4,1,2,0,0,0,1,0,0,2
9070,27,〇,石塚 裕也,PF,16:03,3,1,2,50.0%,0,0,-,1,2,50.0%,0,1,1,1,1,1,0,0,0,1,0,3
8732,30,-,岡田 優,SG,32:27,11,5,10,50.0%,1,3,33.3%,0,2,0.0%,2,0,2,6,1,1,0,0,4,1,0,12
10257,35,-,内藤 健太,SG,16:31,3,1,5,20.0%,0,2,0.0%,1,2,50.0%,0,3,3,0,1,0,0,2,2,1,0,0
9090,55,〇,キャメロン・リドリー,PF/C,20:09,7,2,9,22.2%,0,0,-,3,4,75.0%,0,2,2,0,0,1,0,0,2,2,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,2,6,0,1,0,0,0,0,0,0,5
,,,合計,,200:00,69,24,65,36.9%,3,14,21.4%,18,23,78.3%,9,24,33,15,10,8,1,6,17,21,1,70
