id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8650,0,〇,田臥 勇太,PG,19:22,4,2,7,28.6%,0,1,0.0%,0,0,-,2,0,2,2,1,1,0,0,3,0,0,3
8495,3,-,前村 雄大,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8835,4,〇,ジェフ・ギブス,PF/C,24:05,16,5,11,45.5%,2,3,66.7%,4,4,100.0%,3,2,5,3,2,1,1,0,5,2,0,18
15843,8,-,須田 昂太郎,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8497,9,〇,遠藤 祐亮,PG/SG,24:11,8,3,8,37.5%,0,2,0.0%,2,2,100.0%,2,2,4,3,0,0,0,0,5,1,0,10
8726,10,-,竹内 公輔,PF/C,20:00,0,0,3,0.0%,0,1,0.0%,0,0,-,1,3,4,1,0,1,2,0,0,0,0,5
9331,13,-,セドリック・ボーズマン,SF,08:19,8,4,4,100.0%,0,0,-,0,0,-,0,2,2,0,2,0,0,0,1,0,0,8
8529,18,-,鵤 誠司,PG,19:06,7,3,6,50.0%,0,2,0.0%,1,1,100.0%,0,1,1,4,2,0,0,0,3,3,0,7
8499,24,-,渡邉 裕規,PG,16:33,2,0,6,0.0%,0,3,0.0%,2,2,100.0%,1,1,2,1,0,1,0,0,1,1,0,0
8657,31,〇,喜多川 修平,SF,24:20,19,6,12,50.0%,5,9,55.6%,2,3,66.7%,0,2,2,1,1,1,1,1,2,3,0,16
8649,32,〇,ライアン・ロシター,PF/C,27:36,12,5,10,50.0%,0,0,-,2,5,40.0%,2,6,8,3,1,0,1,0,3,6,0,15
10822,46,-,生原 秀将,PG,16:28,10,3,5,60.0%,1,3,33.3%,3,3,100.0%,0,0,0,2,1,0,1,0,2,1,0,10
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,3,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,86,31,72,43.1%,8,24,33.3%,16,20,80.0%,12,22,34,20,10,5,6,1,25,17,0,96
