id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9354,2,〇,ロバート・ドジャー,PF,29:12,20,6,10,60.0%,4,5,80.0%,4,4,100.0%,1,3,4,2,2,1,1,1,4,2,0,22
8727,5,-,川嶋 勇人,PG,25:46,16,5,9,55.6%,1,3,33.3%,5,6,83.3%,0,1,1,4,4,3,0,1,3,4,0,15
10896,6,-,岩田 涼太,SG/SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8565,8,〇,太田 敦也,C,22:20,9,1,2,50.0%,0,0,-,7,10,70.0%,1,6,7,1,2,0,0,0,2,6,0,11
8567,11,-,岡田 慎吾,SG,22:55,2,1,2,50.0%,0,1,0.0%,0,0,-,0,3,3,2,2,1,0,0,3,0,0,5
9423,13,-,比留木 謙司,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8568,15,〇,鈴木 達也,PG,22:00,7,3,7,42.9%,1,3,33.3%,0,1,0.0%,0,0,0,6,0,0,0,0,1,2,0,8
9494,32,-,ウェンデル・ホワイト,SF/PF,13:58,6,2,7,28.6%,1,3,33.3%,1,2,50.0%,0,2,2,1,2,1,0,1,4,2,0,2
9058,44,-,スコット・モリソン,C,16:50,5,2,6,33.3%,0,0,-,1,3,33.3%,1,0,1,0,0,1,1,2,3,4,2,2
8569,45,〇,鹿野 洵生,SF,17:24,6,2,3,66.7%,2,3,66.7%,0,0,-,0,3,3,1,2,0,0,0,1,0,0,7
8571,73,〇,田渡 修人,SG,29:35,13,4,5,80.0%,3,4,75.0%,2,4,50.0%,0,5,5,2,1,0,0,0,0,3,0,16
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,1,5,0,1,0,0,0,0,0,0,4
,,,合計,,200:00,84,26,51,51.0%,12,22,54.5%,20,30,66.7%,7,24,31,19,16,7,2,5,21,23,2,92
