id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8462,0,-,小林 遥太,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8784,3,〇,ファイ サンバ,C,20:00,16,6,9,66.7%,0,0,-,4,5,80.0%,1,3,4,1,0,2,0,0,0,3,0,19
8577,6,-,長谷川 智伸,SG/SF,22:11,11,4,6,66.7%,2,4,50.0%,1,2,50.0%,1,0,1,2,2,1,0,0,1,2,0,10
9489,7,〇,並里 成,PG,25:20,9,4,7,57.1%,0,0,-,1,2,50.0%,1,3,4,9,1,0,0,0,1,2,0,17
15811,11,〇,佐藤 卓磨,SF/PF,15:43,7,3,5,60.0%,1,3,33.3%,0,0,-,1,1,2,0,0,0,0,0,3,2,0,7
8465,22,-,樋口 大倫,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8461,23,-,横江 豊,PG,14:40,0,0,4,0.0%,0,1,0.0%,0,0,-,1,0,1,1,0,2,0,0,3,1,0,0
10818,24,-,高橋 耕陽,SG/SF,23:00,9,4,6,66.7%,1,2,50.0%,0,0,-,1,2,3,2,2,0,1,0,0,0,0,11
8463,34,〇,狩野 祐介,SG,19:06,3,1,4,25.0%,1,3,33.3%,0,0,-,0,2,2,1,0,0,0,1,0,2,0,3
12585,40,〇,ディオール・フィッシャー,PF/C,34:00,8,4,7,57.1%,0,0,-,0,0,-,0,7,7,3,4,1,2,0,4,0,0,14
8758,54,-,澤地 サミュエルJr.,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
15812,55,-,ベンキー・ジョイス,PF,26:00,17,6,10,60.0%,0,0,-,5,8,62.5%,0,6,6,3,2,0,1,0,1,6,1,18
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
,,,合計,,200:00,80,32,58,55.2%,5,13,38.5%,11,17,64.7%,6,25,31,22,11,6,4,1,13,18,1,100
