id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8662,0,-,満原 優樹,PF/C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8730,1,-,清水 太志郎,PG/SG,13:09,0,0,2,0.0%,0,1,0.0%,0,0,-,0,2,2,0,0,2,0,0,0,0,0,2
10819,6,〇,ロバート・サクレ,C,29:47,17,7,19,36.8%,0,0,-,3,4,75.0%,1,10,11,1,2,1,0,0,2,3,1,15
8446,7,-,伊藤 駿,PG,25:13,2,1,3,33.3%,0,1,0.0%,0,0,-,0,0,0,3,0,0,0,0,1,1,0,3
8447,9,〇,ベンドラメ 礼生,PG,34:43,17,8,13,61.5%,1,3,33.3%,0,0,-,1,1,2,1,1,1,0,1,2,2,0,15
15756,13,-,阿部 諒,SG,04:56,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,0,1,1,0,0,0,0,0,2
10820,14,〇,杉浦 佑成,SF,25:59,2,0,5,0.0%,0,3,0.0%,2,2,100.0%,0,2,2,0,1,2,0,0,3,4,0,0
12508,23,-,ブランデン・ドーソン,SF/PF,15:13,8,4,5,80.0%,0,1,0.0%,0,2,0.0%,1,3,4,0,3,2,1,0,0,3,0,9
8658,32,〇,山内 盛久,PG/SG,22:09,4,2,8,25.0%,0,1,0.0%,0,0,-,1,2,3,4,1,3,0,0,4,0,0,7
8479,51,〇,菊池 真人,PF,13:51,0,0,1,0.0%,0,0,-,0,0,-,1,1,2,0,0,0,0,1,5,0,0,1
9063,55,-,ジョシュ・ハレルソン,PF/C,15:00,4,2,6,33.3%,0,2,0.0%,0,2,0.0%,1,4,5,1,1,0,2,0,3,1,0,5
