id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8642,0,-,遥 天翼,SF,12:17,7,2,6,33.3%,1,2,50.0%,2,2,100.0%,0,1,1,0,0,0,1,2,1,1,0,5
8643,3,-,畠山 俊樹,PG,26:13,8,2,9,22.2%,1,4,25.0%,3,4,75.0%,2,2,4,2,0,2,0,0,1,3,0,8
8471,5,-,佐藤 優樹,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8645,7,〇,五十嵐 圭,PG,29:17,3,1,8,12.5%,1,6,16.7%,0,2,0.0%,2,3,5,7,3,0,0,1,1,3,0,3
8515,11,〇,鵜澤 潤,PF,08:53,6,2,2,100.0%,0,0,-,2,2,100.0%,1,0,1,1,0,0,0,0,2,2,0,8
12581,15,-,オースティン・ダフォー,PF,05:04,2,1,2,50.0%,0,0,-,0,0,-,0,0,0,0,1,0,0,0,1,0,0,0
10851,18,-,森井 健太,PG,01:43,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-1
14302,30,〇,今村 佳太,SG/SF,20:43,5,2,6,33.3%,1,3,33.3%,0,0,-,0,3,3,0,0,1,1,0,2,1,0,6
8731,31,〇,城宝 匡史,SG,25:51,5,2,4,50.0%,0,1,0.0%,1,1,100.0%,0,3,3,0,1,0,0,0,3,2,0,5
8476,32,-,池田 雄一,SF,15:03,0,0,0,-,0,0,-,0,0,-,0,2,2,0,1,0,0,0,1,0,0,1
9384,34,-,ラモント・ハミルトン,PF/C,23:24,12,5,11,45.5%,1,4,25.0%,1,1,100.0%,2,1,3,3,1,1,1,0,1,2,0,13
9040,54,〇,ダバンテ・ガードナー,C,31:32,29,9,20,45.0%,0,3,0.0%,11,11,100.0%,4,10,14,5,4,1,1,1,4,9,0,35
