id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
10850,1,〇,関野 剛平,SG/SF,21:57,2,1,4,25.0%,0,2,0.0%,0,0,-,1,2,3,1,0,1,0,0,0,3,0,4
9392,5,〇,ダニエル・ミラー,C,21:32,12,6,7,85.7%,0,0,-,0,0,-,1,3,4,1,1,2,1,0,2,1,3,18
8507,8,〇,多嶋 朝飛,PG,22:23,11,3,7,42.9%,0,4,0.0%,5,6,83.3%,0,0,0,7,1,1,0,0,0,3,0,13
8508,9,-,折茂 武彦,SG,15:25,4,0,3,0.0%,0,2,0.0%,4,4,100.0%,0,2,2,1,2,0,0,0,0,2,0,2
8509,11,〇,桜井 良太,SF,16:42,5,1,4,25.0%,0,1,0.0%,3,3,100.0%,1,4,5,6,1,1,0,0,3,2,0,13
15845,12,-,ディジョン・トンプソン,SF/PF,19:57,12,3,8,37.5%,0,2,0.0%,6,8,75.0%,1,4,5,3,1,3,0,2,1,5,0,15
12595,15,-,マーク・トラソリーニ,PF/C,18:31,12,5,8,62.5%,1,3,33.3%,1,1,100.0%,3,6,9,2,2,0,0,1,2,2,1,18
10880,17,-,川邉 亮平,SF,17:11,2,1,4,25.0%,0,1,0.0%,0,0,-,0,3,3,2,3,1,0,0,2,0,0,2
10297,21,-,田原 隆徳,SG,03:20,4,1,3,33.3%,1,3,33.3%,1,2,50.0%,0,0,0,0,1,1,0,0,0,1,0,1
8512,23,〇,野口 大介,PF,19:52,13,5,9,55.6%,1,3,33.3%,2,2,100.0%,0,0,0,0,0,0,1,0,2,2,1,10
8513,32,-,松島 良豪,PG,13:42,9,4,5,80.0%,1,1,100.0%,0,4,0.0%,1,1,2,3,1,1,0,0,0,3,0,9
9039,35,-,伊藤 大司,PG,09:28,3,1,3,33.3%,0,0,-,1,2,50.0%,0,1,1,2,0,1,0,0,0,1,0,4
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,2,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,89,31,65,47.7%,4,22,18.2%,23,32,71.9%,10,28,38,28,13,12,2,3,12,25,5,113
