id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8684,2,-,橋本 尚明,SG,19:13,0,0,6,0.0%,0,2,0.0%,0,0,-,1,2,3,1,1,0,1,0,1,0,0,-2
8663,7,-,宮永 雄太,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8501,9,〇,水戸 健史,SG,10:48,0,0,2,0.0%,0,0,-,0,0,-,1,0,1,1,0,0,0,0,0,0,0,0
8732,10,-,岡田 優,SG,16:10,6,2,5,40.0%,1,2,50.0%,1,2,50.0%,1,0,1,2,1,0,0,0,1,1,0,4
8503,11,〇,宇都 直輝,PG,35:39,13,4,13,30.8%,0,0,-,5,8,62.5%,2,7,9,4,1,3,0,1,4,6,0,16
8505,12,-,田中 健介,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10885,15,-,青木 ブレイク,PF,11:16,0,0,3,0.0%,0,0,-,0,0,-,1,4,5,0,0,0,0,2,0,0,0,2
8581,22,-,上江田 勇樹,SG/SF,13:24,10,4,5,80.0%,1,2,50.0%,1,1,100.0%,1,1,2,1,1,1,0,0,5,1,0,12
8449,24,〇,大塚 裕土,SG/SF,31:48,20,7,11,63.6%,6,10,60.0%,0,0,-,0,0,0,1,1,1,0,0,2,0,0,17
8664,33,-,ドリュー・ヴァイニー,SF/PF,23:35,9,2,6,33.3%,1,2,50.0%,4,6,66.7%,0,6,6,3,2,1,1,0,2,5,0,12
8502,34,〇,サム・ウィラード,PF,36:25,15,5,15,33.3%,1,7,14.3%,4,8,50.0%,3,8,11,2,0,1,2,0,3,4,0,17
10873,81,〇,小原 翼,PF,01:42,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
