id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8475,0,〇,佐藤 公威,SG,37:43,18,7,14,50.0%,4,8,50.0%,0,0,-,1,2,3,4,3,2,0,0,4,2,0,17
8839,1,-,岡本 飛竜,PG,25:41,7,3,4,75.0%,1,1,100.0%,0,0,-,1,6,7,2,2,2,0,0,2,2,0,15
8836,5,〇,山本 エドワード,PG,23:17,2,1,4,25.0%,0,0,-,0,0,-,1,1,2,6,2,0,0,1,5,2,0,5
8724,9,〇,熊谷 宜之,SF,31:33,21,7,13,53.8%,3,7,42.9%,4,4,100.0%,0,6,6,5,1,2,0,1,3,2,0,27
9328,10,〇,波多野 和也,PF,17:37,9,4,6,66.7%,1,1,100.0%,0,0,-,0,1,1,0,1,0,2,1,2,0,0,9
15848,12,-,アル・ソーントン,SF/PF,16:05,10,2,6,33.3%,1,3,33.3%,5,6,83.3%,4,2,6,1,0,0,0,0,0,4,0,12
8683,18,-,相馬 卓弥,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9283,22,-,小阪 彰久,PF,04:09,2,1,2,50.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,1
9266,30,-,ジーノ・ポマーレ,PF/C,18:14,6,3,3,100.0%,0,0,-,0,0,-,0,3,3,4,1,0,0,0,2,0,0,12
12631,40,〇,ジョシュ・スコット,PF/C,25:41,17,6,13,46.2%,0,0,-,5,8,62.5%,5,4,9,4,3,2,1,0,1,6,0,20
