id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8659,0,-,新城 真司,F,17:22,2,1,5,20.0%,0,4,0.0%,0,0,-,4,0,4,1,0,1,0,0,4,1,0,4
8665,1,-,和田 保彦,PG/SG,21:01,5,1,7,14.3%,1,4,25.0%,2,2,100.0%,0,0,0,0,0,0,0,0,3,3,0,-1
8667,5,〇,武井 弘明,PG,23:36,2,1,7,14.3%,0,3,0.0%,0,0,-,1,0,1,1,2,1,0,0,1,0,0,-3
9269,9,〇,高松 勇介,G,16:03,2,1,4,25.0%,0,2,0.0%,0,0,-,0,1,1,1,0,1,0,0,2,0,0,2
10842,10,〇,三ツ井 利也,SF/PF,20:00,5,2,5,40.0%,1,3,33.3%,0,0,-,1,2,3,1,0,0,0,1,1,0,0,6
8670,11,〇,齊藤 洋介,SG,18:01,10,4,10,40.0%,2,5,40.0%,0,0,-,0,0,0,0,3,1,0,1,2,0,0,2
8671,24,-,鈴木 大,PG/SG,23:57,6,3,8,37.5%,0,2,0.0%,0,0,-,0,0,0,1,0,2,0,0,1,1,0,4
12592,33,〇,ニック・ウォッシュバーン,C,11:50,8,3,8,37.5%,2,3,66.7%,0,0,-,4,4,8,0,2,0,0,0,3,2,0,9
12593,40,-,ティム・デゼルスキ,F,21:37,10,4,9,44.4%,0,2,0.0%,2,2,100.0%,2,7,9,1,0,1,1,0,1,1,0,17
8651,55,-,アンソニー・マクヘンリー,F,26:33,9,4,11,36.4%,0,3,0.0%,1,1,100.0%,0,11,11,1,2,1,1,1,1,3,0,14
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,1,5,0,0,0,0,0,0,0,0,5
,,,合計,,200:00,59,24,74,32.4%,6,31,19.4%,5,5,100.0%,16,26,42,7,9,8,2,3,19,11,0,59
