id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
12596,0,-,ハーバート・ヒル,PF/C,22:58,6,3,8,37.5%,0,0,-,0,0,-,1,5,6,1,3,0,1,1,3,0,0,6
9044,2,〇,福澤 晃平,PG,30:00,5,2,6,33.3%,1,4,25.0%,0,0,-,0,1,1,2,2,1,0,0,4,0,0,3
8527,5,-,伊藤 大,SG,09:13,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,0,0,0,0,1
8520,11,〇,杉本 慶,SG,18:39,5,1,2,50.0%,0,0,-,3,3,100.0%,0,1,1,0,1,1,0,0,5,4,0,5
10845,13,〇,成田 正弘,PG,32:32,6,3,8,37.5%,0,3,0.0%,0,0,-,0,2,2,7,4,2,0,0,1,3,0,8
9218,14,-,兒玉 貴通,PG,07:28,2,0,1,0.0%,0,0,-,2,2,100.0%,0,2,2,0,0,1,0,1,0,3,0,4
8523,16,〇,坂本 健,PF,05:46,4,2,3,66.7%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,1,0,3
8550,18,-,飛田 浩明,SG/SF,14:08,7,2,4,50.0%,1,3,33.3%,2,2,100.0%,1,0,1,0,1,0,0,0,0,1,0,5
12598,24,〇,ジョシュ・ホーキンソン,C,36:18,21,6,12,50.0%,2,5,40.0%,7,8,87.5%,1,6,7,1,1,0,0,1,1,7,0,21
9043,25,-,ロドニー・カーニー,SF,00:44,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,1,0,0
8521,26,-,神津 祥平,SF,22:14,6,3,10,30.0%,0,1,0.0%,0,4,0.0%,1,2,3,1,2,1,0,0,4,5,0,-2
8841,44,-,栗野 譲,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
,,,合計,,200:00,62,22,54,40.7%,4,16,25.0%,14,19,73.7%,4,20,24,12,14,7,1,3,18,25,0,55
