id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
12588,0,〇,澤岻 直人,PG,14:03,0,0,1,0.0%,0,1,0.0%,0,0,-,1,0,1,2,1,0,0,0,1,0,0,1
9074,1,〇,樋口 真斗,SG,40:00,13,5,6,83.3%,3,4,75.0%,0,0,-,0,0,0,4,0,0,0,0,2,1,0,16
9456,2,-,ゲイリー・ハミルトン,C,11:29,2,1,3,33.3%,0,0,-,0,0,-,0,2,2,3,1,1,0,0,3,0,0,5
8540,3,-,石橋 晴行,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9369,6,〇,チリジ・ネパウエ,C,23:42,28,10,19,52.6%,0,0,-,8,11,72.7%,4,4,8,1,4,0,2,0,5,9,0,23
8562,13,〇,小松 秀平,SG,35:10,7,3,8,37.5%,1,5,20.0%,0,0,-,1,4,5,1,0,1,1,0,3,0,0,10
8560,15,〇,寺下 太基,SF/PF,21:47,4,2,5,40.0%,0,0,-,0,0,-,0,3,3,1,1,1,0,0,0,1,0,5
9244,22,-,武田 倫太郎,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10810,23,-,ジョシュア・ドラード,SF/PF,23:59,28,11,19,57.9%,1,2,50.0%,5,5,100.0%,3,6,9,2,3,0,1,0,5,7,0,29
8558,24,-,本多 純平,SF,09:03,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,2,0,1,0,0,0,0,0,3
8711,33,-,喜久山 貴一,PG/SG,20:47,6,2,6,33.3%,1,3,33.3%,1,2,50.0%,0,0,0,1,0,0,0,0,2,1,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,3,3,0,0,0,0,0,1,0,0,3
,,,合計,,200:00,88,34,68,50.0%,6,16,37.5%,14,18,77.8%,9,23,32,17,10,4,4,0,22,19,0,97
