id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8525,1,-,ソロモン・ アラビ,C,27:22,19,9,14,64.3%,0,0,-,1,1,100.0%,5,11,16,2,2,0,3,0,2,3,0,33
8666,2,〇,德川 慎之介,SG,09:28,5,1,3,33.3%,0,2,0.0%,3,3,100.0%,0,0,0,0,0,0,0,0,0,1,0,3
8673,5,-,友利 健哉,PG,23:07,8,3,6,50.0%,1,4,25.0%,1,2,50.0%,0,2,2,3,0,1,0,0,0,2,0,10
8674,8,〇,村上 慎也,PG,28:30,10,2,5,40.0%,1,1,100.0%,5,5,100.0%,0,0,0,5,1,1,0,0,2,2,0,12
8675,9,-,野上 淳史,SF,12:21,0,0,2,0.0%,0,2,0.0%,0,0,-,0,0,0,1,1,1,0,0,0,0,0,-1
15834,10,-,半澤 凌太,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12627,16,〇,ジャレッド・ショウ,PF/C,12:38,3,1,7,14.3%,0,1,0.0%,1,2,50.0%,2,2,4,0,2,0,2,0,5,1,0,0
8566,18,-,川満 寿史,SF,18:27,3,1,4,25.0%,1,4,25.0%,0,0,-,0,0,0,3,0,0,0,0,2,0,0,3
8677,21,〇,菅野 翔太,SF,23:10,3,1,4,25.0%,1,4,25.0%,0,0,-,0,4,4,0,0,0,0,1,3,1,0,4
10255,23,-,ディオン・ジョーンズ,SF/PF,20:00,19,6,12,50.0%,2,3,66.7%,5,7,71.4%,1,4,5,1,1,1,0,0,2,6,0,17
10852,30,-,水野 幹太,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8526,32,〇,武藤 修平,PF,24:57,7,3,8,37.5%,1,4,25.0%,0,0,-,2,4,6,2,0,0,1,0,1,1,0,11
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,0,0,0,2
,,,合計,,200:00,77,27,65,41.5%,7,25,28.0%,16,20,80.0%,10,29,39,17,7,4,6,1,17,17,0,94
