id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9060,0,〇,藤江 建典,G,34:12,6,3,10,30.0%,0,3,0.0%,0,2,0.0%,2,0,2,6,1,1,0,0,1,1,0,5
12628,1,-,デコリー・スポーディング・ジョーンズ,SF,05:31,0,0,3,0.0%,0,1,0.0%,0,0,-,0,1,1,0,0,0,0,0,1,1,0,-2
8715,5,-,千葉 慎也,F,06:37,2,1,3,33.3%,0,2,0.0%,0,0,-,0,0,0,1,0,0,0,0,2,0,0,1
9372,7,-,マーカリ・サンダース・フリソン,PF/C,25:59,11,5,12,41.7%,0,1,0.0%,1,1,100.0%,2,12,14,4,0,0,0,1,3,2,0,22
8678,8,-,枡田 祐介,G,13:39,2,1,1,100.0%,0,0,-,0,0,-,1,1,2,0,0,0,0,0,3,0,0,4
8469,10,〇,菅澤 紀行,F,13:23,5,2,7,28.6%,1,5,20.0%,0,0,-,0,2,2,2,0,1,0,1,2,0,0,5
8718,12,-,鈴木 友貴,SG,18:41,8,3,10,30.0%,2,5,40.0%,0,0,-,0,0,0,0,0,0,1,0,0,0,0,2
8757,13,〇,小原 良公,G,21:19,2,1,5,20.0%,0,4,0.0%,0,2,0.0%,0,2,2,2,0,0,0,0,2,1,0,0
8474,18,-,加藤 竜太,PG,09:32,0,0,3,0.0%,0,2,0.0%,0,0,-,1,2,3,1,0,0,0,0,0,1,0,1
12629,44,〇,マイケル・ビューキャナン,C,28:30,22,8,12,66.7%,0,0,-,6,10,60.0%,4,6,10,0,3,0,0,0,3,8,0,21
8755,68,〇,永田 晃司,G,22:37,0,0,3,0.0%,0,3,0.0%,0,0,-,0,0,0,4,2,0,0,0,0,1,0,-1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,4,5,0,1,0,0,0,0,0,0,4
,,,合計,,200:00,58,24,69,34.8%,3,26,11.5%,7,15,46.7%,11,30,41,20,7,2,1,2,17,15,0,62
