id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9347,1,〇,中西 良太,PF/C,20:00,10,3,7,42.9%,0,0,-,4,6,66.7%,5,7,12,1,3,0,1,1,0,4,0,15
9348,2,〇,古野 拓巳,PG,26:28,0,0,3,0.0%,0,2,0.0%,0,0,-,0,4,4,6,3,2,0,0,3,1,0,6
10883,6,-,柿内 輝心,PG,07:45,2,1,4,25.0%,0,1,0.0%,0,0,-,1,0,1,0,1,0,0,0,3,1,0,-1
9350,7,〇,小林 慎太郎,SG,19:42,4,1,4,25.0%,1,3,33.3%,1,2,50.0%,0,1,1,0,1,0,0,0,1,1,0,0
12590,8,〇,ジョッシュ・ドゥインカー,C,25:50,14,4,11,36.4%,1,1,100.0%,5,7,71.4%,0,9,9,3,2,0,0,1,3,4,0,15
9075,10,-,菊池 広明,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9352,11,〇,福田 真生,SF,20:00,8,2,5,40.0%,0,0,-,4,6,66.7%,2,3,5,1,1,2,0,0,0,3,0,10
9460,14,-,ジョーダン・ヴァンデンバーグ,C,14:10,4,2,5,40.0%,0,0,-,0,0,-,3,1,4,0,1,0,1,0,1,0,0,5
10831,30,-,テレンス・ウッドベリー,SG,20:00,13,4,8,50.0%,1,4,25.0%,4,4,100.0%,0,2,2,4,2,0,0,0,1,3,0,13
8570,47,-,並里 祐,G,19:52,11,4,6,66.7%,1,2,50.0%,2,5,40.0%,0,2,2,3,2,2,0,1,3,6,0,11
8837,55,-,横尾 達泰,SG,06:13,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
9353,88,-,高村 成寿,PF/C,20:00,5,2,7,28.6%,0,2,0.0%,1,1,100.0%,2,4,6,2,1,0,1,0,4,5,0,8
