id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
15854,0,〇,シンミオン・バウアーズ,PF,30:04,20,10,17,58.8%,0,1,0.0%,0,6,0.0%,5,5,10,3,3,2,0,0,4,6,1,19
9064,1,〇,増子 匠,SF,19:05,6,3,7,42.9%,0,2,0.0%,0,0,-,0,2,2,1,2,0,0,0,3,0,0,3
12499,5,-,リッチモンド・ヴィルデ,C,18:39,4,2,7,28.6%,0,0,-,0,1,0.0%,4,7,11,0,2,0,1,2,4,1,1,8
9418,7,-,ルーク・エヴァンス,11:17,5,2,4,50.0%,0,0,-,1,3,33.3%,0,3,3,0,1,0,1,0,1,2,0,4,
15757,11,-,石井 峻平,SG/SF,13:23,8,3,6,50.0%,2,5,40.0%,0,0,-,1,1,2,0,1,1,1,0,2,0,0,8
10894,14,-,柏倉 哲平,PG,24:29,5,2,5,40.0%,0,2,0.0%,1,3,33.3%,0,2,2,3,1,0,0,0,4,3,0,4
12500,17,〇,古牧 昌也,SG,08:27,0,0,0,-,0,0,-,0,0,-,0,0,0,0,2,0,0,0,1,1,0,-2
8553,19,-,中村 友也,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9045,22,-,河相 智志,SG,20:32,11,4,10,40.0%,2,4,50.0%,1,1,100.0%,0,2,2,1,1,2,0,0,2,2,0,9
8547,33,〇,西山 達哉,PG/SG,22:16,12,3,9,33.3%,3,7,42.9%,3,4,75.0%,1,1,2,4,0,0,0,0,2,2,0,11
8556,35,-,高山 師門,PF,18:33,2,1,4,25.0%,0,1,0.0%,0,2,0.0%,2,4,6,0,1,0,0,0,4,3,0,2
8557,92,〇,村越 圭佑,PF,13:15,0,0,1,0.0%,0,0,-,0,0,-,0,4,4,0,0,0,1,0,1,0,0,4
