id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9208,0,〇,上田 雅也,SG,29:52,5,2,9,22.2%,1,3,33.3%,0,0,-,0,0,0,2,3,0,0,0,1,0,0,-3
8617,2,-,目 健人,SF,09:33,11,3,4,75.0%,3,4,75.0%,2,2,100.0%,0,0,0,0,0,0,0,0,0,0,0,10
9246,3,〇,高橋 幸大,PG,33:28,10,4,12,33.3%,2,7,28.6%,0,0,-,0,4,4,5,2,3,0,0,1,0,0,12
10837,4,-,柳下 力哉,SG,06:43,2,1,4,25.0%,0,1,0.0%,0,0,-,0,2,2,1,0,0,0,0,1,0,0,2
12623,5,-,ウェンデル・ルイス,C,16:45,16,7,7,100.0%,0,0,-,2,3,66.7%,3,5,8,1,0,0,2,0,0,0,0,26
9497,11,〇,今井 宏樹,PG,20:36,5,2,4,50.0%,1,1,100.0%,0,0,-,3,1,4,5,0,0,0,0,1,0,0,12
12612,12,-,シェイク・セイン,C,17:39,8,3,5,60.0%,0,0,-,2,4,50.0%,4,3,7,2,0,1,0,0,2,0,0,14
12613,19,-,フォファナ ママドゥ,SF,01:17,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,1,0,1,0,0,0,0,0,1
9247,21,-,師玉 祐一,SF,03:15,3,1,2,50.0%,1,2,50.0%,0,0,-,0,2,2,0,0,0,0,0,0,0,0,4
9325,23,-,佐々木 優希,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12614,25,〇,フェラコーン・ホール,PF,21:04,26,12,18,66.7%,2,2,100.0%,0,0,-,1,8,9,2,2,0,1,0,3,0,0,30
9438,30,-,中島 卓也,SG,04:12,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
9242,31,〇,田中 良拓,SG,23:27,13,5,10,50.0%,2,4,50.0%,1,1,100.0%,0,3,3,1,0,0,0,1,1,0,0,12
15836,32,-,吉川 治耀,SG,07:39,2,1,3,33.3%,0,2,0.0%,0,0,-,1,1,2,0,0,0,0,0,0,0,0,2
12615,53,-,森 黄州,SG,04:30,2,1,2,50.0%,0,0,-,0,0,-,0,0,0,1,0,1,0,1,0,0,0,3
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,2,6,0,0,0,0,0,0,0,0,6
,,,合計,,200:00,103,42,82,51.2%,12,26,46.2%,7,10,70.0%,16,31,47,21,7,6,3,2,10,0,0,130
