id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9249,0,-,浅野 崇史,SF,08:00,0,0,2,0.0%,0,1,0.0%,0,0,-,0,0,0,1,0,0,0,0,0,0,0,-1
9241,3,〇,亀崎 光博,SF,31:23,15,4,11,36.4%,3,6,50.0%,4,4,100.0%,0,0,0,6,2,0,0,1,0,0,0,12
9252,6,〇,金井 賢治,PF,23:03,10,3,4,75.0%,2,3,66.7%,2,2,100.0%,0,2,2,4,1,0,0,0,0,0,0,14
12624,10,-,ブレナン・マッケルロイ,PF,18:33,8,4,5,80.0%,0,0,-,0,0,-,4,9,13,1,2,4,0,0,2,0,0,23
9387,20,-,ジョエル・ジェームス,C,15:21,9,4,7,57.1%,0,0,-,1,2,50.0%,0,3,3,0,0,0,0,1,2,0,0,8
8545,25,-,山口 力也,SG,17:34,5,1,5,20.0%,1,4,25.0%,2,2,100.0%,1,2,3,3,0,1,0,0,2,0,0,8
9259,32,〇,エドワード・モリス,PF,21:27,17,8,12,66.7%,0,0,-,1,2,50.0%,0,6,6,1,2,0,0,1,1,0,0,17
9260,39,-,中村 寛大,PG,14:10,2,1,5,20.0%,0,2,0.0%,0,0,-,1,0,1,3,0,0,0,0,1,0,0,2
9261,52,〇,アレクサンダー・ジョーンズ,C,24:39,17,7,11,63.6%,0,0,-,3,6,50.0%,3,10,13,2,1,2,0,0,0,0,0,26
10854,99,〇,大城 侑朔,PG,25:50,10,4,5,80.0%,2,3,66.7%,0,0,-,0,2,2,5,6,0,0,0,0,0,0,10
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,1,4,0,0,0,0,0,1,0,0,4
,,,合計,,200:00,93,36,67,53.7%,8,19,42.1%,13,18,72.2%,12,35,47,26,14,7,0,3,9,0,0,123
