id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9249,0,〇,浅野 崇史,SF,11:41,2,1,5,20.0%,0,0,-,0,0,-,1,1,2,0,0,2,0,0,0,0,0,2
9250,1,-,池田 裕介,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9241,3,〇,亀崎 光博,SF,25:35,17,7,10,70.0%,3,4,75.0%,0,0,-,1,0,1,3,4,0,1,0,1,0,0,15
9252,6,-,金井 賢治,PF,07:45,5,2,3,66.7%,1,1,100.0%,0,0,-,0,1,1,0,0,0,0,0,0,0,0,5
12624,10,-,ブレナン・マッケルロイ,PF,28:19,7,3,7,42.9%,0,1,0.0%,1,1,100.0%,5,9,14,3,4,2,2,2,2,0,0,20
9254,14,〇,地久里 謙成,SF,33:42,12,4,14,28.6%,1,4,25.0%,3,4,75.0%,2,1,3,2,2,0,0,1,2,0,0,4
9387,20,〇,ジョエル・ジェームス,C,16:42,0,0,2,0.0%,0,0,-,0,0,-,0,3,3,0,3,1,1,0,4,0,0,0
8545,25,-,山口 力也,SG,01:14,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-1
9259,32,-,エドワード・モリス,PF,23:18,10,4,11,36.4%,0,2,0.0%,2,2,100.0%,7,6,13,0,3,2,0,1,2,0,0,15
9260,39,-,中村 寛大,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9261,52,-,アレクサンダー・ジョーンズ,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9262,77,〇,大金 広弥,PG,35:17,15,6,12,50.0%,1,5,20.0%,2,2,100.0%,2,3,5,5,5,2,0,0,3,0,0,16
10854,99,-,大城 侑朔,PG,16:27,14,5,8,62.5%,2,4,50.0%,2,4,50.0%,1,3,4,3,0,1,0,0,2,0,0,17
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,2,0,0,0,0,0,0,1
,,,合計,,200:00,82,32,72,44.4%,8,21,38.1%,10,13,76.9%,20,29,49,16,24,10,4,4,16,0,0,94
