id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9249,0,〇,浅野 崇史,SF,20:00,2,1,6,16.7%,0,0,-,0,0,-,3,0,3,4,2,2,0,0,2,0,0,4
9250,1,-,池田 裕介,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9252,6,〇,金井 賢治,PF,26:43,9,3,11,27.3%,3,10,30.0%,0,0,-,1,4,5,2,1,1,0,0,3,0,0,8
12647,7,-,和田 尚之,SF,02:15,2,0,2,0.0%,0,2,0.0%,2,2,100.0%,0,0,0,1,0,0,0,0,1,0,0,1
12624,10,-,ブレナン・マッケルロイ,PF,20:00,12,5,6,83.3%,0,0,-,2,7,28.6%,7,7,14,2,2,2,0,0,2,0,0,22
9254,14,〇,地久里 謙成,SF,32:07,14,5,14,35.7%,2,6,33.3%,2,2,100.0%,0,2,2,1,0,1,0,1,2,0,0,9
9387,20,〇,ジョエル・ジェームス,C,21:40,19,7,8,87.5%,0,0,-,5,8,62.5%,5,4,9,1,0,1,0,0,1,0,0,26
8545,25,-,山口 力也,SG,18:55,8,3,7,42.9%,1,5,20.0%,1,1,100.0%,0,4,4,3,3,1,1,0,1,0,0,10
9259,32,-,エドワード・モリス,PF,18:20,9,4,4,100.0%,0,0,-,1,1,100.0%,2,5,7,3,2,0,0,0,2,0,0,17
9260,39,-,中村 寛大,PG,07:55,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,1,0,0,0,0,1,0,0,0
9261,52,-,アレクサンダー・ジョーンズ,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10854,99,〇,大城 侑朔,PG,32:05,14,5,14,35.7%,2,7,28.6%,2,3,66.7%,0,3,3,6,0,1,0,0,0,0,0,14
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,1,3,0,0,0,0,0,0,0,0,3
,,,合計,,200:00,89,33,73,45.2%,8,30,26.7%,15,24,62.5%,20,30,50,24,10,9,1,1,15,0,0,114
