id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
12619,2,〇,山口 健大,SF,17:17,1,0,8,0.0%,0,4,0.0%,1,2,50.0%,0,2,2,3,1,1,1,0,1,0,0,-2
12620,7,-,大野 陽平,PF,18:50,2,1,7,14.3%,0,1,0.0%,0,0,-,1,0,1,0,0,0,1,2,1,0,0,-2
9256,8,-,兼子 勇太,PF,14:10,0,0,1,0.0%,0,0,-,0,0,-,0,1,1,2,0,1,1,0,0,0,0,4
9339,9,〇,坂井 耀平,PG,30:30,11,4,10,40.0%,2,6,33.3%,1,2,50.0%,0,2,2,1,3,1,0,2,0,0,0,5
9257,11,-,上松 大輝,SF,21:34,11,4,7,57.1%,2,3,66.7%,1,3,33.3%,0,0,0,0,1,0,0,0,1,0,0,5
12621,12,-,伊藤 尚人,PG,07:30,3,1,3,33.3%,0,1,0.0%,1,2,50.0%,2,0,2,1,1,1,0,0,0,0,0,3
12622,19,-,前田 英典,SF,17:29,3,1,7,14.3%,1,4,25.0%,0,0,-,0,1,1,0,0,0,0,0,1,0,0,-2
10855,21,〇,エリマン・プィ,C,30:13,11,5,11,45.5%,0,0,-,1,1,100.0%,3,9,12,0,3,3,0,2,4,0,0,17
12652,22,〇,パパ・ブーバカー・サー,PF,16:47,0,0,4,0.0%,0,2,0.0%,0,0,-,1,3,4,0,1,0,1,0,2,0,0,0
9245,25,〇,草野 佑太,SG,16:51,0,0,7,0.0%,0,2,0.0%,0,0,-,1,1,2,2,0,1,0,2,0,0,0,-2
12650,55,-,木下 勲,PG,08:49,0,0,4,0.0%,0,4,0.0%,0,0,-,0,0,0,0,2,0,0,0,0,0,0,-6
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,2,5,0,2,0,0,0,0,0,0,3
,,,合計,,200:00,42,16,69,23.2%,5,27,18.5%,5,10,50.0%,11,21,32,9,14,8,4,8,10,0,0,23
