id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
15752,2,-,岡田 雄三,PG,04:11,0,0,3,0.0%,0,0,-,0,0,-,1,0,1,1,0,0,0,0,1,0,0,-1
9277,3,-,髙橋 理輝,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10853,7,-,寺部 亮佑,PF,21:23,3,1,3,33.3%,1,2,50.0%,0,0,-,2,1,3,2,3,0,0,0,4,0,0,3
9279,8,-,五十嵐 貴志,PF,11:05,0,0,4,0.0%,0,2,0.0%,0,0,-,1,1,2,0,1,0,0,1,2,0,0,-3
9280,9,-,足立 尚也,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10260,14,〇,ニヨキゼラ・イーヴェ,C,21:16,9,3,8,37.5%,0,0,-,3,4,75.0%,3,2,5,0,1,2,0,1,4,0,0,9
9281,15,-,落合 恭兵,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9282,17,〇,石原 裕貴,PG,21:47,5,1,5,20.0%,0,2,0.0%,3,4,75.0%,0,0,0,3,2,6,0,1,3,0,0,7
9284,28,-,熊谷 慎也,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10816,32,〇,池嶋 一輝,PF,25:09,16,8,9,88.9%,0,0,-,0,0,-,1,2,3,1,0,0,0,0,3,0,0,19
9285,33,〇,藤田 俊祐,SF,33:22,19,8,21,38.1%,1,3,33.3%,2,3,66.7%,2,1,3,5,1,1,0,1,3,0,0,13
9286,34,-,加藤 慧,SG,17:42,4,0,7,0.0%,0,4,0.0%,4,4,100.0%,0,3,3,2,2,2,0,0,1,0,0,2
9287,37,-,渡邊 拓実,PG,13:12,3,1,3,33.3%,1,3,33.3%,0,0,-,1,1,2,0,0,1,0,0,0,0,0,4
15810,38,-,宮脇 隼人,C,00:45,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
9289,55,〇,熊澤 恭平,SG,30:08,19,7,14,50.0%,4,6,66.7%,1,1,100.0%,2,4,6,6,2,1,1,0,4,0,0,24
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,0,2,0,0,0,0,0,0,0,0,2
,,,合計,,200:00,78,29,77,37.7%,7,22,31.8%,13,16,81.3%,15,15,30,20,12,13,1,4,26,0,0,79
