id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9277,3,-,髙橋 理輝,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10853,7,-,寺部 亮佑,PF,21:43,3,1,5,20.0%,1,5,20.0%,0,0,-,1,1,2,2,1,1,0,0,4,0,0,3
9279,8,-,五十嵐 貴志,PF,05:02,2,1,2,50.0%,0,0,-,0,0,-,0,2,2,1,1,0,0,0,1,0,0,3
9280,9,-,足立 尚也,SF,17:23,8,3,9,33.3%,0,3,0.0%,2,2,100.0%,0,2,2,2,0,0,0,0,0,0,0,6
10260,14,〇,ニヨキゼラ・イーヴェ,C,28:37,2,1,3,33.3%,0,0,-,0,0,-,3,6,9,0,1,0,1,0,5,0,0,9
9281,15,-,落合 恭兵,PF,03:45,2,0,0,-,0,0,-,2,2,100.0%,0,0,0,0,0,0,0,0,2,0,0,2
9282,17,〇,石原 裕貴,PG,32:11,5,0,3,0.0%,0,1,0.0%,5,6,83.3%,1,3,4,6,2,5,0,0,2,0,0,14
9284,28,-,熊谷 慎也,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10816,32,〇,池嶋 一輝,PF,29:58,15,7,14,50.0%,0,0,-,1,2,50.0%,3,9,12,1,2,2,1,1,4,0,0,21
9285,33,〇,藤田 俊祐,SF,17:52,9,3,10,30.0%,0,2,0.0%,3,6,50.0%,0,1,1,0,0,0,0,0,2,0,0,0
9286,34,-,加藤 慧,SG,23:07,14,5,11,45.5%,4,8,50.0%,0,0,-,2,0,2,3,2,2,0,0,1,0,0,13
9287,37,-,渡邊 拓実,PG,12:49,6,2,5,40.0%,2,4,50.0%,0,0,-,1,1,2,1,0,1,1,0,3,0,0,8
15810,38,-,宮脇 隼人,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9289,55,〇,熊澤 恭平,SG,32:33,24,8,15,53.3%,3,6,50.0%,5,6,83.3%,1,2,3,4,1,2,0,0,4,0,0,24
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,2,5,0,0,0,0,0,0,0,0,5
,,,合計,,225:00,90,31,77,40.3%,10,29,34.5%,18,24,75.0%,15,29,44,20,10,13,3,1,28,0,0,108
