id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9208,0,〇,上田 雅也,SG,38:03,7,2,8,25.0%,1,5,20.0%,2,2,100.0%,1,2,3,1,5,0,0,0,2,0,0,0
8617,2,〇,目 健人,SF,14:08,0,0,4,0.0%,0,3,0.0%,0,0,-,1,1,2,0,0,0,0,0,0,0,0,-2
9246,3,〇,高橋 幸大,PG,37:40,22,9,19,47.4%,2,9,22.2%,2,2,100.0%,0,3,3,4,3,0,0,0,3,0,0,16
10837,4,-,柳下 力哉,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12610,6,-,イブラヒマ・トーマス,PF,20:00,22,9,16,56.3%,1,4,25.0%,3,5,60.0%,0,6,6,2,0,2,1,0,1,0,0,24
12611,7,-,太陽 ロバートソン,SG,10:17,2,1,4,25.0%,0,3,0.0%,0,0,-,1,0,1,0,1,0,0,0,1,0,0,-1
9497,11,-,今井 宏樹,PG,14:52,0,0,1,0.0%,0,1,0.0%,0,0,-,1,2,3,2,0,0,0,0,1,0,0,4
12612,12,〇,シェイク・セイン,C,08:44,0,0,1,0.0%,0,0,-,0,0,-,0,5,5,0,0,0,1,0,3,0,0,5
12613,19,-,フォファナ ママドゥ,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9247,21,-,師玉 祐一,SF,08:33,5,2,4,50.0%,1,2,50.0%,0,0,-,0,1,1,0,0,0,0,0,2,0,0,4
9325,23,-,佐々木 優希,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12614,25,-,フェラコーン・ホール,PF,31:16,23,7,16,43.8%,0,2,0.0%,9,9,100.0%,9,5,14,3,4,1,2,0,3,0,0,30
8769,27,-,小林 大起,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,
9438,30,-,中島 卓也,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9242,31,〇,田中 良拓,SG,16:27,4,1,2,50.0%,0,1,0.0%,2,2,100.0%,0,2,2,0,0,1,0,0,5,0,0,6
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,0,0,0,2
,,,合計,,200:00,85,31,75,41.3%,5,30,16.7%,18,20,90.0%,13,29,42,12,13,4,4,0,21,0,0,88
