id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
15752,2,-,岡田 雄三,PG,33:10,13,5,7,71.4%,1,2,50.0%,2,2,100.0%,1,3,4,4,1,0,0,1,3,0,0,18
9277,3,-,髙橋 理輝,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10853,7,-,寺部 亮佑,PF,19:07,5,1,3,33.3%,1,2,50.0%,2,2,100.0%,0,2,2,2,0,0,0,0,2,0,0,7
9279,8,-,五十嵐 貴志,PF,09:22,4,2,2,100.0%,0,0,-,0,0,-,0,4,4,0,0,0,0,0,0,0,0,8
9280,9,-,足立 尚也,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10260,14,〇,ニヨキゼラ・イーヴェ,C,31:29,10,3,3,100.0%,0,0,-,4,6,66.7%,3,7,10,0,3,0,0,0,5,0,0,15
9281,15,-,落合 恭兵,PF,02:58,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
9282,17,〇,石原 裕貴,PG,06:50,2,1,2,50.0%,0,0,-,0,0,-,2,0,2,0,1,0,0,0,3,0,0,2
15835,24,-,卜部 兼慎,SF,17:30,13,3,6,50.0%,3,5,60.0%,4,4,100.0%,1,1,2,2,1,0,0,0,2,0,0,13
9284,28,-,熊谷 慎也,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10816,32,〇,池嶋 一輝,PF,13:07,2,1,3,33.3%,0,0,-,0,0,-,0,0,0,1,0,2,0,0,3,0,0,3
9285,33,〇,藤田 俊祐,SF,26:05,14,4,14,28.6%,0,3,0.0%,6,6,100.0%,0,4,4,1,1,0,0,1,2,0,0,8
9286,34,-,加藤 慧,SG,23:15,25,4,10,40.0%,3,5,60.0%,14,15,93.3%,2,1,3,3,3,0,0,0,0,0,0,21
15810,38,-,宮脇 隼人,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9289,55,〇,熊澤 恭平,SG,17:07,9,2,4,50.0%,1,2,50.0%,4,4,100.0%,1,0,1,2,0,1,0,0,0,0,0,11
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,1,1,0,1,0,0,0,0,0,0,0
,,,合計,,200:00,97,26,54,48.1%,9,19,47.4%,36,39,92.3%,10,23,33,15,11,3,0,2,21,0,0,106
